DateTime,RightMouseLocation
2026/1/20 10:50:00,side
2026/1/20 10:50:20,corridor
2026/1/20 10:50:22,middle
2026/1/20 10:50:22,mid-sep
2026/1/20 10:50:25,middle
2026/1/20 10:50:35,corridor
2026/1/20 10:50:43,middle
2026/1/20 10:50:44,corridor
2026/1/20 10:50:47,side
2026/1/20 10:51:28,corridor
2026/1/20 10:51:33,middle
2026/1/20 10:51:40,mid-sep
2026/1/20 10:51:48,middle
2026/1/20 10:52:00,mid-sep
2026/1/20 10:52:11,middle
2026/1/20 10:52:17,mid-sep
2026/1/20 10:52:32,middle
2026/1/20 10:52:36,corridor
2026/1/20 10:52:37,side
2026/1/20 10:54:00,corridor
2026/1/20 10:54:01,middle
2026/1/20 10:54:01,mid-sep
2026/1/20 10:54:12,middle
2026/1/20 10:54:20,mid-sep
2026/1/20 10:54:28,middle
2026/1/20 10:54:49,mid-sep
2026/1/20 10:55:08,middle
2026/1/20 10:56:53,corridor
2026/1/20 10:56:54,side
2026/1/20 10:57:11,corridor
2026/1/20 10:57:14,middle
2026/1/20 10:57:17,mid-sep
2026/1/20 10:57:24,middle
2026/1/20 10:57:41,mid-sep
2026/1/20 10:58:00,middle
2026/1/20 10:58:16,corridor
2026/1/20 10:58:17,side
2026/1/20 11:00:45,corridor
2026/1/20 11:00:47,middle
2026/1/20 11:00:56,mid-sep
2026/1/20 11:01:00,middle
2026/1/20 11:01:03,corridor
2026/1/20 11:01:04,side
2026/1/20 11:02:21,corridor
2026/1/20 11:02:23,middle
2026/1/20 11:02:29,mid-sep
2026/1/20 11:02:31,middle
2026/1/20 11:02:34,corridor
2026/1/20 11:02:35,side
2026/1/20 11:04:34,corridor
2026/1/20 11:04:35,middle
2026/1/20 11:04:49,mid-sep
2026/1/20 11:05:18,middle
2026/1/20 11:05:24,corridor
2026/1/20 11:05:25,side
2026/1/20 11:05:37,corridor
2026/1/20 11:05:39,middle
2026/1/20 11:05:42,mid-sep
2026/1/20 11:06:02,middle
2026/1/20 11:06:05,corridor
2026/1/20 11:06:06,side
2026/1/20 11:08:28,corridor
2026/1/20 11:08:30,middle
2026/1/20 11:08:47,corridor
2026/1/20 11:08:48,side
2026/1/20 11:10:57,corridor
2026/1/20 11:11:00,middle
2026/1/20 11:11:02,mid-sep
2026/1/20 11:11:25,middle
2026/1/20 11:11:42,corridor
2026/1/20 11:11:52,side
2026/1/20 13:11:41,corridor
2026/1/20 13:11:42,middle
2026/1/20 13:11:47,mid-sep
2026/1/20 13:12:26,middle
2026/1/20 13:12:45,mid-sep
2026/1/20 13:13:10,middle
2026/1/20 13:13:23,mid-sep
2026/1/20 13:13:24,middle
2026/1/20 13:13:33,corridor
2026/1/20 13:13:35,side
2026/1/20 13:14:09,corridor
2026/1/20 13:14:26,middle
2026/1/20 13:17:06,mid-sep
2026/1/20 13:17:25,middle
2026/1/20 13:17:56,corridor
2026/1/20 13:18:14,side
2026/1/20 13:18:43,corridor
2026/1/20 13:18:44,middle
2026/1/20 13:18:47,mid-sep
2026/1/20 13:18:51,middle
2026/1/20 13:18:56,mid-sep
2026/1/20 13:18:57,middle
2026/1/20 13:18:59,corridor
2026/1/20 13:19:00,side
2026/1/20 13:20:16,corridor
2026/1/20 13:20:39,middle
2026/1/20 13:21:41,mid-sep
2026/1/20 13:21:47,middle
2026/1/20 13:22:30,mid-sep
2026/1/20 13:22:32,middle
2026/1/20 13:24:14,mid-sep
2026/1/20 13:24:15,middle
2026/1/20 13:24:49,mid-sep
2026/1/20 13:25:19,middle
2026/1/20 13:25:21,corridor
2026/1/20 13:25:22,side
2026/1/20 13:27:56,corridor
2026/1/20 13:28:12,middle
2026/1/20 13:28:12,mid-sep
2026/1/20 13:28:14,middle
2026/1/20 13:28:18,corridor
2026/1/20 13:28:21,side
2026/1/20 13:31:44,corridor
2026/1/20 13:31:47,middle
2026/1/20 13:31:50,mid-sep
2026/1/20 13:32:41,middle
2026/1/20 13:32:53,corridor
2026/1/20 13:32:55,side
2026/1/20 13:33:57,corridor
2026/1/20 13:34:00,side
2026/1/20 13:35:23,corridor
2026/1/20 13:35:30,side
2026/1/20 13:35:49,corridor
2026/1/20 13:35:49,middle
2026/1/20 13:35:50,mid-sep
2026/1/20 13:38:26,middle
2026/1/20 13:38:28,corridor
2026/1/20 13:38:38,side
2026/1/20 13:39:28,corridor
2026/1/20 13:39:33,middle
2026/1/20 13:39:33,mid-sep
2026/1/20 13:39:58,middle
2026/1/20 13:40:27,mid-sep
2026/1/20 13:41:09,middle
2026/1/20 13:42:00,mid-sep
2026/1/20 13:43:02,middle
2026/1/20 13:44:53,mid-sep
2026/1/20 13:46:28,middle
2026/1/20 13:46:36,corridor
2026/1/20 13:46:37,side
2026/1/20 13:47:09,corridor
2026/1/20 13:47:11,middle
2026/1/20 13:48:12,corridor
2026/1/20 13:48:20,side
2026/1/20 13:57:48,corridor
2026/1/20 13:57:48,middle
2026/1/20 13:57:53,mid-sep
2026/1/20 13:58:27,middle
2026/1/20 13:58:48,mid-sep
2026/1/20 13:58:55,middle
2026/1/20 13:58:57,corridor
2026/1/20 13:58:58,side
2026/1/20 15:22:56,corridor
2026/1/20 15:22:57,middle
2026/1/20 15:23:00,mid-sep
2026/1/20 15:23:35,middle
2026/1/20 15:24:48,mid-sep
2026/1/20 15:25:01,middle
2026/1/20 15:26:33,mid-sep
2026/1/20 15:26:37,middle
2026/1/20 15:26:43,corridor
2026/1/20 15:26:47,side
2026/1/20 15:26:58,corridor
2026/1/20 15:26:59,middle
2026/1/20 15:27:01,mid-sep
2026/1/20 15:27:47,middle
2026/1/20 15:27:52,mid-sep
