DateTime,RightMouseLocation
2026/3/30 12:00:00,side
2026/3/30 12:32:17,corridor
2026/3/30 12:32:18,middle
2026/3/30 12:32:20,mid-sep
2026/3/30 12:32:25,middle
2026/3/30 12:32:25,corridor
2026/3/30 12:32:37,middle
2026/3/30 12:32:37,mid-sep
2026/3/30 12:32:51,middle
2026/3/30 12:32:52,corridor
2026/3/30 12:33:11,side
2026/3/30 12:36:31,corridor
2026/3/30 12:36:31,middle
2026/3/30 12:36:31,mid-sep
2026/3/30 12:36:34,middle
2026/3/30 12:36:43,corridor
2026/3/30 12:36:43,side
2026/3/30 12:43:17,corridor
2026/3/30 12:43:18,middle
2026/3/30 12:43:18,corridor
2026/3/30 12:43:19,side
2026/3/30 15:33:43,corridor
2026/3/30 15:33:43,middle
2026/3/30 15:34:00,corridor
2026/3/30 15:34:51,middle
2026/3/30 15:34:52,mid-sep
2026/3/30 15:34:56,middle
2026/3/30 15:35:00,corridor
2026/3/30 15:35:03,side
2026/3/30 15:40:02,corridor
2026/3/30 15:40:03,middle
2026/3/30 15:40:04,mid-sep
2026/3/30 15:40:06,middle
2026/3/30 15:40:21,mid-sep
2026/3/30 15:40:26,middle
2026/3/30 15:40:28,corridor
2026/3/30 15:40:29,side
2026/3/30 17:12:19,corridor
2026/3/30 17:12:20,middle
2026/3/30 17:12:24,corridor
2026/3/30 17:12:25,side
2026/3/30 17:14:42,corridor
2026/3/30 17:14:43,middle
2026/3/30 17:14:44,mid-sep
2026/3/30 17:14:52,middle
2026/3/30 17:15:00,corridor
2026/3/30 17:15:03,side
2026/3/30 17:56:22,corridor
2026/3/30 17:56:22,middle
2026/3/30 17:56:56,corridor
2026/3/30 17:56:58,side
2026/3/30 17:58:27,corridor
2026/3/30 17:58:28,side
2026/3/30 18:00:49,corridor
2026/3/30 18:00:50,middle
2026/3/30 18:00:52,corridor
2026/3/30 18:00:53,side
2026/3/30 18:04:27,corridor
2026/3/30 18:04:27,middle
2026/3/30 18:04:30,mid-sep
2026/3/30 18:04:36,middle
2026/3/30 18:04:46,corridor
2026/3/30 18:04:52,side
2026/3/30 18:15:01,corridor
2026/3/30 18:15:01,middle
2026/3/30 18:15:05,corridor
2026/3/30 18:15:07,side
2026/3/30 18:37:16,corridor
2026/3/30 18:37:17,middle
