Cday,CT,bin,data
1,19,9,0
1,19,10,0
1,20,1,0
1,20,2,0
1,20,3,0
1,20,4,0
1,20,5,0
1,20,6,0
1,20,7,0
1,20,8,0
1,20,9,0
1,20,10,0
1,21,1,0
1,21,2,0
1,21,3,0
1,21,4,0
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0
1,21,10,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,65.5020920502092
1,22,8,116.899581589958
1,22,9,60.539748953975
1,22,10,24.0543933054393
1,23,1,10.4435146443516
1,23,2,0
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0
1,23,10,0
1,24,1,0
1,24,2,0
1,0,3,0
1,0,4,0
1,0,5,1.69037656903766
1,0,6,37.2133891213391
1,0,7,53.5983263598328
1,0,8,3.69037656903766
1,0,9,0
1,0,10,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,1.99163179916319
1,1,7,7.81589958158995
1,1,8,37.2384937238493
1,1,9,96.2384937238495
1,1,10,29.8619246861923
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0.171548117154815
1,2,6,5.29288702928887
1,2,7,23.8995815899581
1,2,8,2.14225941422582
1,2,9,14.0585774058578
1,2,10,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0.0585774058576857
1,3,9,6.97071129707111
1,3,10,17.81589958159
1,4,1,0.527196652719526
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,5,1,8.45188284518825
1,5,2,1.67364016736402
1,5,3,0
1,5,4,7.26778242677821
1,5,5,82.1380753138077
1,5,6,39.1882845188287
1,5,7,5.06276150627617
1,5,8,0
1,5,9,0
1,5,10,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0
1,6,10,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0
1,7,10,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,0
1,8,9,0
1,8,10,0
1,9,1,0
1,9,2,0
1,9,3,1.90794979079503
1,9,4,20.9665271966519
1,9,5,38.8912133891213
1,9,6,0
1,9,7,0
1,9,8,0
1,9,9,0
1,9,10,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,8.0334728033473
1,10,6,41.8075313807534
1,10,7,7.57322175732222
1,10,8,4.35146443514643
1,10,9,0
1,10,10,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0.878661087865875
1,11,7,30.7364016736395
1,11,8,74.0083682008368
1,11,9,75.9832635983264
1,11,10,159.221757322177
1,12,1,88.5104602510456
1,12,2,118.435146443515
1,12,3,121.882845188285
1,12,4,117.355648535565
1,12,5,173.811715481172
1,12,6,132.907949790795
1,12,7,116.414225941423
1,12,8,158.933054393306
1,12,9,22.0920502092059
1,12,10,86.2092050209218
1,13,1,149.778242677825
1,13,2,41.3598326359837
1,13,3,135.305439330546
1,13,4,68.8117154811731
1,13,5,98.1924686192468
1,13,6,156.359832635983
1,13,7,93.1966527196669
1,13,8,127.23849372385
1,13,9,37.8744769874486
1,13,10,100.468619246864
1,14,1,103.65690376569
1,14,2,26.7364016736381
1,14,3,0.690376569037654
1,14,4,98.6066945606667
1,14,5,74.4811715481172
1,14,6,13.5439330543936
1,14,7,0
1,14,8,5.02092050209206
1,14,9,3.07949790794984
1,14,10,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,8.10878661087828
1,16,5,11.1297071129707
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0
1,16,10,0
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
1,17,8,6.27615062761508
1,17,9,31.6778242677822
1,17,10,49.6108786610877
1,18,1,32.2384937238493
1,18,2,10.5983263598326
1,18,3,7.30543933054386
1,18,4,0
1,18,5,0
1,18,6,0
1,18,7,0
1,18,8,0
1,18,9,0
1,18,10,0
1,19,1,0
1,19,2,0
1,19,3,0
1,19,4,0
1,19,5,0
1,19,6,0
1,19,7,0
1,19,8,0
2,19,9,0
2,19,10,0
2,20,1,0
2,20,2,0
2,20,3,0
2,20,4,0
2,20,5,0
2,20,6,0
2,20,7,0
2,20,8,0
2,20,9,0
2,20,10,0
2,21,1,0
2,21,2,0
2,21,3,0
2,21,4,9.61924686192467
2,21,5,25.7238493723849
2,21,6,3.98326359832631
2,21,7,0
2,21,8,0
2,21,9,0
2,21,10,0
2,22,1,0
2,22,2,0
2,22,3,0
2,22,4,0
2,22,5,0
2,22,6,0
2,22,7,0
2,22,8,0
2,22,9,0
2,22,10,0
2,23,1,0
2,23,2,0
2,23,3,11.4476987447699
2,23,4,13.1715481171548
2,23,5,3.61506276150627
2,23,6,0
2,23,7,0
2,23,8,0
2,23,9,0
2,23,10,0
2,24,1,0
2,24,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,1.21338912133892
2,0,7,36.1046025104603
2,0,8,102.656903765691
2,0,9,119.041841004184
2,0,10,100.97489539749
2,1,1,41.3389121338912
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0
2,1,10,36.2259414225938
2,2,1,96.133891213389
2,2,2,63.2635983263592
2,2,3,0
2,2,4,0
2,2,5,0
2,2,6,0
2,2,7,0
2,2,8,0
2,2,9,0
2,2,10,0
2,3,1,0
2,3,2,6.22594142259418
2,3,3,9.90794979079513
2,3,4,0
2,3,5,0
2,3,6,0
2,3,7,0
2,3,8,0
2,3,9,0
2,3,10,0
2,4,1,0
2,4,2,0
2,4,3,5.34728033472793
2,4,4,12.8033472803348
2,4,5,0
2,4,6,0
2,4,7,0
2,4,8,0
2,4,9,0
2,4,10,0
2,5,1,0
2,5,2,0
2,5,3,0
2,5,4,0
2,5,5,0
2,5,6,0
2,5,7,0
2,5,8,0
2,5,9,0
2,5,10,0
2,6,1,0
2,6,2,0
2,6,3,0
2,6,4,0
2,6,5,0
2,6,6,0
2,6,7,0
2,6,8,0
2,6,9,0
2,6,10,0
2,7,1,0
2,7,2,0
2,7,3,0
2,7,4,0
2,7,5,0
2,7,6,0
2,7,7,0
2,7,8,0
2,7,9,0
2,7,10,0
2,8,1,0
2,8,2,0
2,8,3,0
2,8,4,0
2,8,5,0
2,8,6,0
2,8,7,0
2,8,8,0.920502092050224
2,8,9,9.20920502092043
2,8,10,0.962343096234133
2,9,1,0
2,9,2,0
2,9,3,0
2,9,4,0
2,9,5,0
2,9,6,0
2,9,7,0
2,9,8,0
2,9,9,0
2,9,10,0
2,10,1,0
2,10,2,0
2,10,3,0.794979079497919
2,10,4,0.21338912133892
2,10,5,0
2,10,6,0
2,10,7,0
2,10,8,0
2,10,9,0
2,10,10,1.47280334728034
2,11,1,12.9205020920502
2,11,2,83.9288702928852
2,11,3,110
2,11,4,62.9037656903764
2,11,5,118.012552301256
2,11,6,140.020920502092
2,11,7,132.28870292887
2,11,8,156.439330543933
2,11,9,97.6025104602519
2,11,10,27.0585774058572
2,12,1,27.041841004184
2,12,2,94.2384937238483
2,12,3,130.138075313808
2,12,4,137.573221757322
2,12,5,141.610878661088
2,12,6,56.4435146443523
2,12,7,0
2,12,8,72.0502092050206
2,12,9,97.0167364016737
2,12,10,33.6150627615054
2,13,1,0
2,13,2,0
2,13,3,0
2,13,4,0
2,13,5,0
2,13,6,0
2,13,7,0
2,13,8,0
2,13,9,0
2,13,10,0
2,14,1,0
2,14,2,0
2,14,3,0
2,14,4,0
2,14,5,0
2,14,6,0
2,14,7,0
2,14,8,0
2,14,9,0
2,14,10,0
2,15,1,0
2,15,2,0
2,15,3,0
2,15,4,0
2,15,5,0
2,15,6,0
2,15,7,0
2,15,8,0
2,15,9,0
2,15,10,0.953974895397526
2,16,1,2.07112970711298
2,16,2,1.50627615062769
2,16,3,3.53556485355649
2,16,4,0
2,16,5,0
2,16,6,0
2,16,7,0
2,16,8,0
2,16,9,0
2,16,10,0
2,17,1,0
2,17,2,0
2,17,3,0
2,17,4,0
2,17,5,0
2,17,6,0
2,17,7,0
2,17,8,0
2,17,9,0
2,17,10,0
2,18,1,0
2,18,2,0
2,18,3,0
2,18,4,0
2,18,5,0
2,18,6,0
2,18,7,0
2,18,8,0
2,18,9,0
2,18,10,0
2,19,1,0
2,19,2,0
2,19,3,0
2,19,4,0
2,19,5,0
2,19,6,0
2,19,7,0
2,19,8,0
3,19,9,0
