Cday,CT,bin,data
1,18,10,0
1,19,1,0
1,19,2,0
1,19,3,0
1,19,4,0
1,19,5,0
1,19,6,0
1,19,7,0
1,19,8,0
1,19,9,0
1,19,10,0
1,20,1,0
1,20,2,27.8870292887029
1,20,3,57.7364016736402
1,20,4,120.150627615063
1,20,5,82.5271966527198
1,20,6,126.234309623431
1,20,7,67.9539748953974
1,20,8,8.5857740585774
1,20,9,0
1,20,10,0
1,21,1,0
1,21,2,0
1,21,3,0
1,21,4,0
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0
1,21,10,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,0
1,22,10,0
1,23,1,0
1,23,2,0
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0
1,23,10,0
1,24,1,15.4769874476987
1,0,2,22.4811715481172
1,0,3,8.42677824267784
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,1,1,0.48953974895397
1,1,2,0.518828451882848
1,1,3,42.0794979079502
1,1,4,106.648535564854
1,1,5,112.405857740586
1,1,6,52.4686192468616
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,2,1,1.62343096234309
1,2,2,6.38493723849373
1,2,3,21.6736401673641
1,2,4,62.8451882845183
1,2,5,64.6234309623438
1,2,6,3.17991631799166
1,2,7,0.355648535564854
1,2,8,0.652719665271956
1,2,9,0
1,2,10,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0.543933054393303
1,3,8,11.489539748954
1,3,9,62.2468619246852
1,3,10,102.142259414227
1,4,1,6.09205020920506
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0
1,5,10,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,6,7,0
1,6,8,0.0878661087865935
1,6,9,7.28870292887024
1,6,10,75.7112970711298
1,7,1,105.623430962343
1,7,2,10.0502092050205
1,7,3,86.6276150627599
1,7,4,3.35146443514582
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0
1,7,10,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,0
1,8,9,0
1,8,10,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,9,7,8.46861924686188
1,9,8,3.38493723849381
1,9,9,132.799163179916
1,9,10,154.401673640168
1,10,1,48.3221757322172
1,10,2,3.53556485355652
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,2.67782426778246
1,10,10,46.9707112970706
1,11,1,87.9288702928874
1,11,2,145.037656903765
1,11,3,173.543933054393
1,11,4,83.3682008368202
1,11,5,42.6234309623429
1,11,6,128.581589958159
1,11,7,131.60669456067
1,11,8,113.476987447698
1,11,9,147.188284518828
1,11,10,91.6694560669457
1,12,1,112.543933054395
1,12,2,123.585774058577
1,12,3,40.5020920502102
1,12,4,81.4142259414233
1,12,5,180.133891213389
1,12,6,194.820083682008
1,12,7,94.2803347280341
1,12,8,80.9121338912114
1,12,9,154.531380753138
1,12,10,145.707112970712
1,13,1,90.1715481171546
1,13,2,91.9288702928862
1,13,3,98.6987447698728
1,13,4,28.606694560669
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0
1,13,10,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0
1,14,10,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0
1,16,1,0
1,16,2,0
1,16,3,1.52301255230134
1,16,4,5.53556485355642
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0
1,16,10,0
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
1,17,8,0
1,17,9,0
1,17,10,0
1,18,1,0.669456066945729
1,18,2,11.3472803347278
1,18,3,31.3430962343091
1,18,4,0.585774058577298
1,18,5,13.5313807531382
1,18,6,0
1,18,7,0
1,18,8,0
1,18,9,0
2,18,10,0
2,19,1,0
2,19,2,0
2,19,3,0
2,19,4,0
2,19,5,0
2,19,6,0
2,19,7,0
2,19,8,0
2,19,9,0
2,19,10,0
2,20,1,0
2,20,2,0
2,20,3,0
2,20,4,0
2,20,5,0
2,20,6,0
2,20,7,0
2,20,8,0
2,20,9,0
2,20,10,0.832635983263598
2,21,1,0.175732217573223
2,21,2,0
2,21,3,0
2,21,4,0
2,21,5,0
2,21,6,0
2,21,7,0
2,21,8,0
2,21,9,0
2,21,10,0
2,22,1,0
2,22,2,0
2,22,3,0
2,22,4,0
2,22,5,0
2,22,6,0
2,22,7,0
2,22,8,0
2,22,9,0
2,22,10,0
2,23,1,0
2,23,2,0
2,23,3,0
2,23,4,0
2,23,5,48.0041841004181
2,23,6,30.8702928870292
2,23,7,0.786610878661077
2,23,8,0
2,23,9,0
2,23,10,0
2,24,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,0,7,1.04602510460251
2,0,8,0.970711297071136
2,0,9,4.05020920502091
2,0,10,4.01673640167369
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,12.0878661087867
2,1,7,62.1464435146448
2,1,8,85.4518828451879
2,1,9,32.9121338912136
2,1,10,0
2,2,1,0
2,2,2,0
2,2,3,0
2,2,4,5.71129707112957
