Cday,CT,bin,data
1,21,9,0
1,21,10,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,0
1,22,10,0
1,23,1,0
1,23,2,0
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0
1,23,10,0
1,24,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,5.836820083682
1,0,8,3.27615062761508
1,0,9,0
1,0,10,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,5.21338912133889
1,2,10,51.0627615062763
1,3,1,118.389121338912
1,3,2,90.2050209205022
1,3,3,37.6987447698745
1,3,4,73.6485355648535
1,3,5,105.276150627615
1,3,6,96.6736401673641
1,3,7,104.138075313808
1,3,8,46.0292887029289
1,3,9,6.77824267782429
1,3,10,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,5,1,1.63598326359844
1,5,2,20.1799163179916
1,5,3,61.1882845188278
1,5,4,141.414225941423
1,5,5,130.803347280335
1,5,6,104.728033472803
1,5,7,68.7531380753138
1,5,8,103.673640167364
1,5,9,65.1631799163181
1,5,10,32.55230125523
1,6,1,0.937238493723601
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0
1,6,10,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0
1,7,10,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,0
1,8,9,0
1,8,10,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0.556485355648532
1,9,5,0.456066945606693
1,9,6,0
1,9,7,0
1,9,8,0
1,9,9,0
1,9,10,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0
1,10,10,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0
1,11,10,0
1,12,1,0
1,12,2,5.74058577405852
1,12,3,36.4686192468624
1,12,4,69.1213389121342
1,12,5,62.1924686192469
1,12,6,82.7824267782432
1,12,7,42.6485355648519
1,12,8,132.330543933054
1,12,9,106.271966527196
1,12,10,141.606694560669
1,13,1,102.619246861925
1,13,2,91.3849372384936
1,13,3,118.933054393305
1,13,4,118.924686192468
1,13,5,132.949790794979
1,13,6,84.2719665271971
1,13,7,28.5899581589943
1,13,8,122.050209205021
1,13,9,133.899581589958
1,13,10,67.4225941422585
1,14,1,90.1631799163181
1,14,2,174.949790794979
1,14,3,41.5523012552278
1,14,4,137.962343096232
1,14,5,31.4602510460251
1,14,6,72.514644351464
1,14,7,8.48535564853682
1,14,8,65.8995815899583
1,14,9,137.359832635983
1,14,10,73.5941422594131
1,15,1,9.69874476987418
1,15,2,57.991631799163
1,15,3,61.0251046025103
1,15,4,11.6025104602519
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,25.2175732217571
1,16,10,84.9832635983272
1,17,1,56.1841004184096
1,17,2,6.76150627615027
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
1,17,8,0
1,17,9,0
1,17,10,0
1,18,1,0
1,18,2,0
1,18,3,0
1,18,4,0
1,18,5,0
1,18,6,0
1,18,7,0
1,18,8,0
1,18,9,0
