Cday,CT,bin,middle,mid_sep,others
1,0,1,0,0,359.5
1,0,2,32,14.99999999978354,312.50000000011056
1,0,3,0,0,359.5
1,0,4,0,0,359.5
1,0,5,0,0,359.5
1,0,6,0,0,359.5
1,0,7,0,0,359.5
1,0,8,1.9999999997276063,2.000000000129603,355.5000000001428
1,0,9,20.999999999770353,8.000000000130058,330.5000000000996
1,0,10,27.00000000018008,2.9999999997958184,329.5000000000241
1,1,1,0,0,359.5
1,1,2,0,0,359.5
1,1,3,8.000000000137334,2.0000000001300577,349.4999999997326
1,1,4,10,5.999999999994543,343.50000000014825
1,1,5,0,0,359.5
1,1,6,29.999999999969077,19.00000000005639,310.49999999997453
1,1,7,0,0,359.5
1,1,8,120.00000000003456,6.999999999647116,232.50000000031832
1,1,9,60.00000000021646,0,299.49999999978354
1,1,10,0,0,359.5
1,2,1,0,0,359.5
1,2,2,0,0,359.5
1,2,3,0,0,359.5
1,2,4,19.999999999716238,35.00000000030195,304.4999999999818
1,2,5,0,0,359.5
1,2,6,19.999999999294232,7.000000000478394,332.5000000002274
1,2,7,0,0,359.5
1,2,8,0,0,359.5
1,2,9,0,0,359.5
1,2,10,0,0,359.5
1,3,1,0,0,359.5
1,3,2,0,0,359.5
1,3,3,0,0,359.5
1,3,4,0,0,359.5
1,3,5,9.000000000192813,0,350.4999999998072
1,3,6,16.999999999914507,15.000000000190994,327.4999999998945
1,3,7,21.499999999847205,1.0000000000691216,337.0000000000837
1,3,8,31.5,3.000000000205546,325.00000000018736
1,3,9,29.000000000320142,0,330.49999999967986
1,3,10,27.00000000017826,1.0000000000709406,331.4999999997508
1,4,1,0,0,359.5
1,4,2,0,0,359.5
1,4,3,0,0,359.5
1,4,4,0,0,359.5
1,4,5,0,0,359.5
1,4,6,0,0,359.5
1,4,7,0,0,359.5
1,4,8,0,0,359.5
1,4,9,0,0,359.5
1,4,10,0,0,359.5
1,5,1,0,0,359.5
1,5,2,26,8,325.50000000016007
1,5,3,8.999999999788997,5.000000000334694,345.4999999998763
1,5,4,3.000000000207365,15.99999999985448,340.49999999993815
1,5,5,0,0,359.5
1,5,6,,,
1,5,7,,,
1,5,8,,,
1,5,9,,,
1,5,10,,,
1,6,1,,,
1,6,2,,,
1,6,3,,,
1,6,4,,,
1,6,5,,,
1,6,6,,,
1,6,7,,,
1,6,8,,,
1,6,9,,,
1,6,10,,,
1,7,1,,,
1,7,2,,,
1,7,3,,,
1,7,4,,,
1,7,5,,,
1,7,6,,,
1,7,7,,,
1,7,8,,,
1,7,9,,,
1,7,10,,,
1,8,1,,,
1,8,2,,,
1,8,3,,,
1,8,4,0,0,274
1,8,5,0,0,359.5
1,8,6,1.9999999997453415,13.000000000047294,344.50000000020736
1,8,7,0,0,359.5
1,8,8,1.0000000000582077,3.000000000200089,355.4999999997417
1,8,9,0,0,359.5
1,8,10,0,0,359.5
1,9,1,0,0,359.5
1,9,2,34,16.99999999991269,308.5000000002692
1,9,3,0,0,359.5
1,9,4,2.000000000152795,5.999999999985448,351.49999999986176
1,9,5,12,26.99999999976717,320.50000000023283
1,9,6,0,0,359.5
1,9,7,0,0,359.5
1,9,8,0,0,359.5
1,9,9,0,0,359.5
1,9,10,0,0,359.5
1,10,1,0,0,359.5
1,10,2,2.9999999997889972,10.99999999992724,345.50000000028376
1,10,3,0.9999999996725819,0,358.5000000003274
1,10,4,0,0,359.5
1,10,5,16.999999999919964,7.000000000058208,335.5000000000218
1,10,6,52.99999999989086,5.999999999992724,300.5000000001164
1,10,7,0,0,359.5
1,10,8,0,0,359.5
1,10,9,0,0,359.5
1,10,10,0,0,359.5
1,11,1,2.000000000138243,26.00000000010914,331.4999999997526
1,11,2,0,0,359.5
1,11,3,0,0,359.5
1,11,4,0,0,359.5
1,11,5,2.0000000001236913,12,345.4999999998763
1,11,6,0,0,359.5
1,11,7,0,0,359.5
1,11,8,6.0000000004220055,5.999999999992724,347.49999999958527
1,11,9,4.9999999999199645,0,354.50000000008004
1,11,10,62.000000000080036,23.999999999978172,273.4999999999418
1,12,1,0,0,359.5
1,12,2,0,0,359.5
1,12,3,0,0,359.5
1,12,4,0,0,359.5
1,12,5,0,0,359.5
1,12,6,54.00000000035652,29.999999999556167,275.5000000000873
1,12,7,47.999999999956344,0,311.50000000004366
1,12,8,78.99999999999272,0,280.5000000000073
1,12,9,0,0,359.5
1,12,10,0,0,359.5
1,13,1,0,0,359.5
1,13,2,0,0,359.5
1,13,3,0,0,359.5
1,13,4,0,0,359.5
1,13,5,4.9999999999199645,15.000000000189175,339.49999999989086
1,13,6,43.00000000042928,15.999999999847205,300.4999999997235
1,13,7,88.99999999986903,9.000000000189175,261.4999999999418
1,13,8,0,0,359.5
1,13,9,7.999999999716238,7.000000000065484,344.5000000002183
1,13,10,73,17.999999999985448,268.50000000001455
1,14,1,71.99999999952706,3.999999999861757,283.5000000006112
1,14,2,110.00000000003638,0,249.49999999996362
1,14,3,0,0,359.5
1,14,4,0,0,359.5
1,14,5,0,0,359.5
1,14,6,0,0,359.5
1,14,7,0,0,359.5
1,14,8,0,0,359.5
1,14,9,33.00000000016007,5.000000000334694,321.49999999950523
1,14,10,1.0000000000800355,15.999999999847205,342.50000000007276
1,15,1,155.50000000022555,2.9999999997817213,200.99999999999272
1,15,2,144.49999999986903,1.0000000000654836,214.00000000006548
1,15,3,61.00000000048021,26.999999999774445,271.49999999974534
1,15,4,150.99999999991996,9.999999999861757,198.50000000021828
1,15,5,8.999999999796273,3.000000000196451,347.5000000000073
1,15,6,249.99999999964348,2.0000000001309672,107.50000000022555
1,15,7,0,0,359.5
1,15,8,0,0,359.5
1,15,9,0,0,359.5
1,15,10,0,0,359.5
1,16,1,0,0,359.5
1,16,2,0,0,359.5
1,16,3,0,0,359.5
1,16,4,0,0,359.5
1,16,5,0,0,359.5
1,16,6,0,0,359.5
1,16,7,6,20.00000000010914,333.49999999989086
1,16,8,1.0000000000654836,1.0000000000800355,357.4999999998545
1,16,9,70.99999999943975,22.00000000025466,266.5000000003056
1,16,10,74.00000000007276,8.999999999665306,276.50000000026193
1,17,1,7.000000000065484,2.0000000002473826,350.49999999968713
1,17,2,0,0,359.5
1,17,3,0,0,359.5
1,17,4,0,0,359.5
1,17,5,0,0,359.5
1,17,6,0,0,359.5
1,17,7,0,0,359.5
1,17,8,0,0,359.5
1,17,9,0,0,359.5
1,17,10,0,0,359.5
1,18,1,3.999999999861757,5.999999999985448,349.5000000001528
1,18,2,19.000000000472937,64.99999999946158,275.5000000000655
1,18,3,0,0,359.5
1,18,4,0,0,359.5
1,18,5,54.49999999998545,11.999999999985448,293.0000000000291
1,18,6,19.500000000116415,0,339.9999999998836
1,18,7,0,0,359.5
1,18,8,0,0,359.5
1,18,9,0,0,359.5
1,18,10,0,0,359.5
1,19,1,0,0,359.5
1,19,2,0,0,359.5
1,19,3,0,0,359.5
1,19,4,0,0,359.5
1,19,5,0,0,359.5
1,19,6,2.0000000001309672,9.000000000189175,348.49999999967986
1,19,7,114.9999999999709,25.000000000043656,219.49999999998545
1,19,8,3.0000000002182787,18.999999999636202,337.5000000001455
1,19,9,0,0,359.5
1,19,10,0,0,359.5
1,20,1,0,0,359.5
1,20,2,0,0,359.5
1,20,3,0,0,359.5
1,20,4,0,0,359.5
1,20,5,0,0,359.5
1,20,6,0,0,359.5
1,20,7,0,0,359.5
1,20,8,0,0,359.5
1,20,9,0,0,359.5
1,20,10,0,0,359.5
1,21,1,0,0,359.5
1,21,2,0,0,359.5
1,21,3,0,0,359.5
1,21,4,0,0,359.5
1,21,5,0,0,359.5
1,21,6,0,0,359.5
1,21,7,0,0,359.5
1,21,8,0,0,359.5
1,21,9,12.999999999650754,28.000000000247383,318.50000000010186
1,21,10,6.000000000392902,28.99999999983993,324.49999999976717
1,22,1,1.0000000000727596,0,358.4999999998545
1,22,2,0,0,359.5
1,22,3,1.0000000000727596,0,358.49999999992724
1,22,4,41,8,310.5000000002474
1,22,5,359.5,0,0
1,22,6,86.5,24.00000000037835,248.99999999962165
1,22,7,0,0,359.5
1,22,8,0,0,359.5
1,22,9,0,0,359.5
1,22,10,0,0,359.5
1,23,1,0,0,359.5
1,23,2,0,0,359.5
1,23,3,0,0,359.5
1,23,4,0,0,359.5
1,23,5,0,0,359.5
1,23,6,0,0,359.5
1,23,7,0,0,359.5
1,23,8,0,0,359.5
1,23,9,0,0,359.5
1,23,10,8.000000000552973,8.999999999374268,342.50000000007276
2,0,1,0,0,359.5
2,0,2,299.9999999997037,4.000000000272678,55.50000000002365
2,0,3,140.00000000003172,0,219.49999999996828
2,0,4,0,0,359.5
2,0,5,0,0,359.5
2,0,6,0,0,359.5
2,0,7,0,0,359.5
