Cday,CT,bin,middle,mid_sep,others
1,0,1,0,0,356
1,0,2,31.000000000042405,2.9999999999998863,321.9999999999577
1,0,3,0.9999999998608473,0,355.00000000013915
1,0,4,0,0,356
1,0,5,0,0,356
1,0,6,0,0,356
1,0,7,0,0,356
1,0,8,0,0,356
1,0,9,0,0,356
1,0,10,0,0,356
1,1,1,0,0,356
1,1,2,0,0,356
1,1,3,0,0,356
1,1,4,0,0,356
1,1,5,0,0,356
1,1,6,2.0000000001336957,1.999999999929969,351.99999999993634
1,1,7,93.99999999977172,7.000000000063665,255.00000000016462
1,1,8,8,8.000000000132786,339.9999999997408
1,1,9,0,0,356
1,1,10,0,0,356
1,2,1,0,0,356
1,2,2,0,0,356
1,2,3,0,0,356
1,2,4,0,0,356
1,2,5,0,0,356
1,2,6,0,0,356
1,2,7,0,0,356
1,2,8,0,0,356
1,2,9,17.00000000012369,11.00000000012733,328
1,2,10,48.00000000016189,7.9999999999236024,299.9999999999145
1,3,1,0,0,356
1,3,2,0,0,356
1,3,3,6.999999999858119,0,349.0000000001419
1,3,4,0,0,356
1,3,5,0,0,356
1,3,6,0,0,356
1,3,7,0,0,356
1,3,8,0,0,356
1,3,9,0,0,356
1,3,10,0,0,356
1,4,1,0,0,356
1,4,2,0,0,356
1,4,3,0,0,356
1,4,4,0,0,356
1,4,5,0,0,356
1,4,6,0,0,356
1,4,7,0,0,356
1,4,8,0,0,356
1,4,9,0,0,356
1,4,10,0,0,356
1,5,1,0,0,356
1,5,2,0,0,356
1,5,3,13.000000000240107,7.9999999999236024,334.9999999998363
1,5,4,19.000000000076398,4.999999999723514,332.0000000002001
1,5,5,0,0,356
1,5,6,0,0,356
1,5,7,0,0,356
1,5,8,0,0,356
1,5,9,0,0,356
1,5,10,0,0,356
1,6,1,0,0,356
1,6,2,0,0,356
1,6,3,0,0,356
1,6,4,0,0,356
1,6,5,0,0,356
1,6,6,0,0,356
1,6,7,0,0,356
1,6,8,0,0,356
1,6,9,0,0,356
1,6,10,0,0,356
1,7,1,0,0,356
1,7,2,0,0,356
1,7,3,0,0,356
1,7,4,0,0,356
1,7,5,0,0,356
1,7,6,0,0,356
1,7,7,0,0,356
1,7,8,0,0,356
1,7,9,0,0,356
1,7,10,0,0,356
1,8,1,0,0,356
1,8,2,0,0,356
1,8,3,0,0,356
1,8,4,0,0,356
1,8,5,0,0,356
1,8,6,0,0,356
1,8,7,0,0,356
1,8,8,0,0,356
1,8,9,0,0,356
1,8,10,0,0,356
1,9,1,0,0,356
1,9,2,0,0,356
1,9,3,3,0,353
1,9,4,0,0,356
1,9,5,0,0,356
1,9,6,0,0,356
1,9,7,0,0,356
1,9,8,0,0,356
1,9,9,0,0,356
1,9,10,0,0,356
1,10,1,0,0,356
1,10,2,0,0,356
1,10,3,4.9999999999199645,2.000000000145519,348.9999999999345
1,10,4,2.999999999985448,3,350.00000000001455
1,10,5,0,0,356
1,10,6,1.0000000000582077,1.0000000000727596,353.99999999986903
1,10,7,0,0,356
1,10,8,1.0000000000727596,8.999999999985448,345.9999999999418
1,10,9,19.000000000094587,1.9999999999199645,334.99999999998545
1,10,10,16.000000000014552,0,339.99999999998545
1,11,1,1.0000000000654836,0,354.9999999999345
1,11,2,0,0,356
1,11,3,0,0,356
1,11,4,0,0,356
1,11,5,0,0,356
1,11,6,0,0,356
1,11,7,0,0,356
1,11,8,0,0,356
1,11,9,0,0,356
1,11,10,0,0,356
1,12,1,0,0,356
1,12,2,0,0,356
1,12,3,0,0,356
1,12,4,0,0,356
1,12,5,5.000000000130967,26.999999999985448,323.9999999998836
1,12,6,5.000000000138243,0,350.99999999986176
1,12,7,61.999999999883585,0,294.0000000001164
1,12,8,1.0000000000727596,0,354.99999999992724
1,12,9,1.9999999999272404,1.0000000000654836,353.0000000000073
1,12,10,0,0,356
1,13,1,126.00000000016007,0.9999999998544808,228.99999999998545
1,13,2,4.999999999861757,0,351.00000000013824
1,13,3,69.99999999999272,0,286.0000000000073
1,13,4,0,0,356
1,13,5,3.999999999861757,0,352.00000000013824
1,13,6,168.99999999992724,0,187.00000000007276
1,13,7,0,0,356
1,13,8,48.000000000116415,4.9999999999126885,302.9999999999709
1,13,9,57,0,299
1,13,10,0,0,356
1,14,1,0,0,356
1,14,2,1.0000000000727596,0,354.99999999992724
1,14,3,0,0,356
1,14,4,111.99999999996362,0,244.00000000003638
1,14,5,210.00000000002183,0,145.99999999997817
1,14,6,49.00000000002183,1.0000000000727596,305.9999999999054
1,14,7,10.000000000050932,0,345.99999999994907
1,14,8,0,0,356
1,14,9,0,0,356
1,14,10,0.9999999998617568,0,355.00000000013824
1,15,1,84.00000000025466,4,267.9999999996726
1,15,2,81.99999999986176,0,274.00000000013824
1,15,3,10.000000000058208,0,345.9999999999418
1,15,4,38.00000000010914,22.999999999905413,294.99999999998545
1,15,5,0,0,356
1,15,6,0,0,356
1,15,7,0,0,356
1,15,8,55.000000000029104,0,300.9999999999709
1,15,9,100.9999999998472,0,255.0000000001528
1,15,10,0,0,356
1,16,1,2.0000000001236913,0,353.9999999998763
1,16,2,0,0,356
1,16,3,91,0,265
