Cday,CT,bin,data
1,2,8,0
1,2,9,0
1,2,10,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,24.2887029288703
1,3,5,3.163179916318
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0
1,5,10,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0
1,6,10,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0
1,7,10,0.259414225941426
1,8,1,2.67782426778244
1,8,2,7.23012552301253
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0.100418410041861
1,8,8,7.96652719665275
1,8,9,63.8075313807534
1,8,10,161.234309623432
1,9,1,49.6359832635975
1,9,2,170.255230125522
1,9,3,19.4644351464442
1,9,4,132.937238493723
1,9,5,121.640167364017
1,9,6,145.581589958159
1,9,7,92.5271966527198
1,9,8,114.309623430962
1,9,9,160.774058577406
1,9,10,123.096234309623
1,10,1,125.786610878661
1,10,2,82.7866108786615
1,10,3,158.861924686192
1,10,4,144.133891213389
1,10,5,81.4769874476989
1,10,6,92.1715481171551
1,10,7,161.937238493724
1,10,8,174.456066945607
1,10,9,126.405857740586
1,10,10,146.050209205021
1,11,1,148.397489539749
1,11,2,146.476987447699
1,11,3,139.410041841004
1,11,4,118.468619246862
1,11,5,113.719665271967
1,11,6,94.912133891213
1,11,7,125.004184100418
1,11,8,172.987447698745
1,11,9,189.740585774059
1,11,10,160.054393305439
1,12,1,150.23849372385
1,12,2,171.150627615062
1,12,3,157.853556485355
1,12,4,169.849372384937
1,12,5,103.845188284519
1,12,6,125.824267782428
1,12,7,137.966527196651
1,12,8,90.3849372384934
1,12,9,145.154811715481
1,12,10,86.1380753138075
1,13,1,152.217573221757
1,13,2,138.271966527196
1,13,3,16.6610878661089
1,13,4,12.426778242678
1,13,5,43.4937238493721
1,13,6,2.11715481171555
1,13,7,43.158995815901
