Cday,CT,bin,middle,mid_sep,others
0,7,10,0,0,337
0,8,1,0,0,360
0,8,2,0,0,247
1,0,1,256,71,33
1,0,2,166,194,0
1,0,3,20,45,295
1,0,4,0,0,360
1,0,5,0,0,360
1,0,6,0,0,360
1,0,7,0,0,360
1,0,8,0,0,360
1,0,9,0,0,360
1,0,10,0,0,360
1,1,1,0,0,360
1,1,2,0,0,360
1,1,3,0,0,360
1,1,4,194,26,140
1,1,5,151,19,190
1,1,6,39,24,297
1,1,7,0,0,360
1,1,8,0,0,360
1,1,9,0,0,360
1,1,10,0,0,360
1,2,1,0,0,360
1,2,2,0,0,360
1,2,3,0,0,360
1,2,4,3,26,331
1,2,5,115,110,135
1,2,6,0,0,360
1,2,7,0,0,360
1,2,8,0,0,360
1,2,9,0,0,360
1,2,10,0,0,360
1,3,1,0,0,360
1,3,2,0,0,360
1,3,3,0,0,360
1,3,4,0,0,360
1,3,5,0,0,360
1,3,6,0,0,360
1,3,7,0,0,360
1,3,8,0,0,360
1,3,9,0,0,360
1,3,10,0,0,360
1,4,1,0,0,360
1,4,2,0,0,360
1,4,3,0,0,360
1,4,4,0,0,360
1,4,5,0,0,360
1,4,6,0,0,360
1,4,7,0,0,360
1,4,8,0,0,360
1,4,9,0,0,360
1,4,10,0,0,360
1,5,1,0,0,360
1,5,2,0,0,360
1,5,3,0,0,360
1,5,4,0,0,360
1,5,5,0,0,360
1,5,6,0,0,360
1,5,7,0,0,360
1,5,8,0,0,360
1,5,9,0,0,360
1,5,10,0,0,360
1,6,1,0,0,360
1,6,2,0,0,360
1,6,3,0,0,360
1,6,4,50,13,297
1,6,5,192,9,159
1,6,6,4,1,355
1,6,7,0,0,360
1,6,8,0,0,360
1,6,9,0,0,360
1,6,10,0,0,360
1,7,1,16,98,246
1,7,2,105,58,197
1,7,3,0,0,360
1,7,4,0,0,360
1,7,5,0,0,360
1,7,6,0,0,360
1,7,7,0,0,360
1,7,8,0,0,360
1,7,9,0,0,360
1,7,10,0,0,360
1,8,1,0,0,360
1,8,2,113,0,360
1,8,3,138,69,513
1,8,4,148,47,525
1,8,5,1,6,713
1,8,6,0,0,720
1,8,7,0,0,720
1,8,8,0,0,720
1,8,9,0,0,720
1,8,10,0,0,720
1,9,1,0,0,720
1,9,2,0,0,648
1,9,3,0,0,360
1,9,4,0,0,360
1,9,5,0,0,360
1,9,6,0,0,360
1,9,7,0,0,360
1,9,8,0,0,360
1,9,9,0,0,360
1,9,10,0,0,360
1,10,1,0,0,360
1,10,2,181,65,114
1,10,3,160,112,88
1,10,4,0,0,360
1,10,5,0,0,360
1,10,6,0,0,360
1,10,7,0,0,360
1,10,8,0,0,360
1,10,9,0,0,360
1,10,10,10,3,347
1,11,1,40,0,320
1,11,2,0,0,360
1,11,3,0,0,360
1,11,4,46,4,310
1,11,5,104,16,240
1,11,6,141,51,168
1,11,7,0,0,360
1,11,8,0,0,360
1,11,9,232,32,96
1,11,10,40,7,313
1,12,1,3,2,355
1,12,2,7,2,351
1,12,3,38,37,285
1,12,4,97,17,246
1,12,5,41,1,318
1,12,6,0,0,360
1,12,7,135,27,198
1,12,8,70,9,281
1,12,9,3,2,355
1,12,10,42,2,316
1,13,1,81,2,277
1,13,2,56,1,303
1,13,3,4,1,355
1,13,4,27,1,332
1,13,5,164,2,194
1,13,6,21,0,339
1,13,7,0,0,360
1,13,8,49,36,275
1,13,9,39,5,316
1,13,10,81,20,259
1,14,1,0,0,360
1,14,2,23,4,333
1,14,3,76,4,280
1,14,4,27,1,332
1,14,5,87,22,251
1,14,6,62,4,294
1,14,7,217,1,142
1,14,8,39,0,321
1,14,9,49,1,310
1,14,10,135,0,225
1,15,1,1,0,359
1,15,2,20,9,331
1,15,3,0,0,360
1,15,4,32,0,328
1,15,5,4,4,352
1,15,6,190,46,124
1,15,7,179,8,173
1,15,8,89,1,270
1,15,9,0,0,360
1,15,10,0,0,360
1,16,1,26,25,309
1,16,2,18,1,341
1,16,3,222,30,108
1,16,4,0,0,360
1,16,5,126,14,220
1,16,6,82,63,215
1,16,7,0,0,360
1,16,8,0,0,360
1,16,9,182,0,178
1,16,10,25,15,320
1,17,1,38,8,314
1,17,2,78,17,265
1,17,3,46,1,313
1,17,4,49,43,268
1,17,5,57,2,301
1,17,6,0,0,360
1,17,7,76,0,284
1,17,8,5,1,354
1,17,9,15,13,332
1,17,10,43,37,280
1,18,1,166,6,188
1,18,2,76,0,284
1,18,3,168,39,153
1,18,4,32,42,286
1,18,5,71,24,265
1,18,6,322,33,5
1,18,7,314,12,34
1,18,8,0,0,360
1,18,9,131,28,201
1,18,10,0,0,360
1,19,1,0,0,360
1,19,2,0,0,360
1,19,3,0,0,360
1,19,4,0,0,360
1,19,5,0,0,360
1,19,6,35,110,215
1,19,7,18,14,328
1,19,8,0,0,360
1,19,9,0,0,360
1,19,10,0,0,360
1,20,1,0,0,360
1,20,2,0,0,360
1,20,3,0,0,360
1,20,4,0,0,360
