Cday,CT,bin,middle,mid_sep,others
0,7,10,0,0,337
0,8,1,0,0,360
0,8,2,0,0,360
0,8,3,0,0,360
0,8,4,0,0,252
1,0,1,29,3,328
1,0,2,30,94,236
1,0,3,11,34,315
1,0,4,0,0,360
1,0,5,0,0,360
1,0,6,0,0,360
1,0,7,0,0,360
1,0,8,0,0,360
1,0,9,0,0,360
1,0,10,0,0,360
1,1,1,0,0,360
1,1,2,0,0,360
1,1,3,0,0,360
1,1,4,0,0,360
1,1,5,0,0,360
1,1,6,0,0,360
1,1,7,0,0,360
1,1,8,0,0,360
1,1,9,0,0,360
1,1,10,0,0,360
1,2,1,0,0,360
1,2,2,4,42,314
1,2,3,23,41,296
1,2,4,20,84,256
1,2,5,1,53,306
1,2,6,0,0,360
1,2,7,0,0,360
1,2,8,0,0,360
1,2,9,0,0,360
1,2,10,0,0,360
1,3,1,0,0,360
1,3,2,0,0,360
1,3,3,0,0,360
1,3,4,0,0,360
1,3,5,0,0,360
1,3,6,0,0,360
1,3,7,0,0,360
1,3,8,0,0,360
1,3,9,0,0,360
1,3,10,0,0,360
1,4,1,0,0,360
1,4,2,0,0,360
1,4,3,0,0,360
1,4,4,2,57,301
1,4,5,0,0,360
1,4,6,0,0,360
1,4,7,0,0,360
1,4,8,0,0,360
1,4,9,0,0,360
1,4,10,0,0,360
1,5,1,0,0,360
1,5,2,0,0,360
1,5,3,0,0,360
1,5,4,0,0,360
1,5,5,0,0,360
1,5,6,0,0,360
1,5,7,0,0,360
1,5,8,0,0,360
1,5,9,0,0,360
1,5,10,0,0,360
1,6,1,0,0,360
1,6,2,0,0,360
1,6,3,0,0,360
1,6,4,0,0,360
1,6,5,0,0,360
1,6,6,0,0,360
1,6,7,0,0,360
1,6,8,0,0,360
1,6,9,3,53,304
1,6,10,0,0,360
1,7,1,79,95,186
1,7,2,0,0,360
1,7,3,0,0,360
1,7,4,0,0,360
1,7,5,0,0,360
1,7,6,0,0,360
1,7,7,0,0,360
1,7,8,0,0,360
1,7,9,0,0,360
1,7,10,0,0,360
1,8,1,0,0,360
1,8,2,0,0,360
1,8,3,0,0,360
1,8,4,3,18,447
1,8,5,24,59,637
1,8,6,0,0,720
1,8,7,0,0,720
1,8,8,0,0,720
1,8,9,0,0,720
1,8,10,0,0,720
1,9,1,0,0,720
1,9,2,0,0,720
1,9,3,0,0,720
1,9,4,0,0,720
1,9,5,0,0,720
1,9,6,0,0,720
1,9,7,0,0,720
1,9,8,0,0,720
1,9,9,0,0,720
1,9,10,0,0,720
1,10,1,0,0,720
1,10,2,4,22,595
1,10,3,10,42,308
1,10,4,1,8,351
1,10,5,22,55,283
1,10,6,0,0,360
1,10,7,0,0,360
1,10,8,0,0,360
1,10,9,0,0,360
1,10,10,0,0,360
1,11,1,0,0,360
1,11,2,0,0,360
1,11,3,0,0,360
1,11,4,7,7,346
1,11,5,0,0,360
1,11,6,0,0,360
1,11,7,0,0,360
1,11,8,21,32,307
1,11,9,4,79,277
1,11,10,0,0,360
1,12,1,3,3,354
1,12,2,0,0,360
1,12,3,27,11,322
1,12,4,0,0,360
1,12,5,1,11,348
1,12,6,0,0,360
1,12,7,38,21,301
1,12,8,0,0,360
1,12,9,0,0,360
1,12,10,2,2,356
1,13,1,4,3,353
1,13,2,0,0,360
1,13,3,16,2,342
1,13,4,0,0,360
1,13,5,4,16,340
1,13,6,1,3,356
1,13,7,0,0,360
1,13,8,2,16,342
1,13,9,0,0,360
1,13,10,0,0,360
1,14,1,0,0,360
1,14,2,0,0,360
1,14,3,0,0,360
1,14,4,0,0,360
1,14,5,0,0,360
1,14,6,0,0,360
1,14,7,0,0,360
1,14,8,4,27,329
1,14,9,0,0,360
1,14,10,0,0,360
1,15,1,0,0,360
1,15,2,2,5,353
1,15,3,0,0,360
1,15,4,3,6,351
1,15,5,0,0,360
1,15,6,0,0,360
1,15,7,0,0,360
1,15,8,0,0,360
1,15,9,0,0,360
1,15,10,0,0,360
1,16,1,0,0,360
1,16,2,0,0,360
1,16,3,0,0,360
1,16,4,0,0,360
1,16,5,0,0,360
1,16,6,2,20,338
1,16,7,0,0,360
1,16,8,0,0,360
1,16,9,4,18,338
1,16,10,0,0,360
1,17,1,0,0,360
1,17,2,12,36,312
1,17,3,0,0,360
1,17,4,26,15,319
1,17,5,0,0,360
1,17,6,0,0,360
1,17,7,0,0,360
1,17,8,0,0,360
1,17,9,25,29,306
1,17,10,0,0,360
1,18,1,0,0,360
1,18,2,0,0,360
1,18,3,5,13,342
1,18,4,0,0,360
1,18,5,0,0,360
1,18,6,3,14,343
1,18,7,0,0,360
1,18,8,0,0,360
1,18,9,5,16,339
1,18,10,0,0,360
1,19,1,16,34,310
1,19,2,2,12,346
1,19,3,21,41,298
1,19,4,0,0,360
1,19,5,14,33,313
1,19,6,17,152,191
1,19,7,7,47,306
1,19,8,0,0,360
1,19,9,0,0,360
1,19,10,0,0,360
1,20,1,0,0,360
1,20,2,0,0,360
