,Cday,CT,bin,data,both_mid,both_midsep
0,0,0,2,60.5,11.0,55.0
1,0,16,7,0.5,1.0,0.0
2,0,17,3,19.0,4.0,17.0
3,0,19,7,8.0,16.0,0.0
4,1,11,5,14.0,18.0,5.0
5,1,11,10,18.0,18.0,9.0
6,1,12,2,1.0,0.0,1.0
7,1,12,7,8.5,17.0,0.0
8,1,12,9,3.5,7.0,0.0
9,1,13,4,5.5,1.0,5.0
10,1,16,3,52.0,88.0,8.0
11,1,16,4,44.5,89.0,0.0
12,1,16,5,156.5,293.0,10.0
13,1,16,7,34.0,30.0,19.0
14,1,16,8,30.5,31.0,15.0
15,1,16,10,23.0,14.0,16.0
16,1,18,8,40.5,49.0,16.0
17,1,20,1,5.0,0.0,5.0
18,1,20,2,0.5,1.0,0.0
19,1,20,4,57.0,12.0,51.0
20,1,20,6,4.5,9.0,0.0
21,1,20,7,19.0,2.0,18.0
22,1,20,8,16.0,4.0,14.0
23,1,20,9,21.5,1.0,21.0
24,1,21,2,165.5,239.0,46.0
25,1,21,3,180.0,360.0,0.0
26,1,21,4,28.5,57.0,0.0
27,1,22,2,49.0,50.0,24.0
28,1,22,5,5.5,11.0,0.0
29,1,22,6,7.0,14.0,0.0
30,1,22,8,8.5,17.0,0.0
31,1,22,9,13.0,26.0,0.0
32,1,23,1,46.5,93.0,0.0
33,1,23,4,35.5,63.0,4.0
34,2,11,2,12.0,18.0,3.0
35,2,12,7,18.5,5.0,16.0
36,2,13,6,12.5,1.0,12.0
37,2,14,3,6.0,12.0,0.0
38,2,17,6,16.0,2.0,15.0
39,2,17,8,15.0,0.0,15.0
40,2,17,9,9.0,2.0,8.0
41,2,17,10,42.0,2.0,41.0
42,2,18,5,25.0,4.0,23.0
43,2,21,1,35.5,71.0,0.0
44,2,21,2,37.0,74.0,0.0
45,2,22,8,8.5,5.0,6.0
46,3,10,10,7.0,14.0,0.0
47,3,12,1,2.0,4.0,0.0
48,3,12,3,19.5,19.0,10.0
49,3,12,9,19.0,2.0,18.0
50,3,13,1,7.5,3.0,6.0
51,3,13,7,5.0,2.0,4.0
52,3,16,9,30.5,9.0,26.0
53,3,17,1,1.5,3.0,0.0
54,3,17,3,11.5,23.0,0.0
55,3,17,5,10.0,2.0,9.0
56,3,17,7,3.5,5.0,1.0
57,3,19,1,28.5,15.0,21.0
58,3,23,3,21.5,1.0,21.0
59,4,0,1,54.0,108.0,0.0
60,4,1,6,11.0,22.0,0.0
61,4,4,10,33.5,67.0,0.0
62,4,5,1,7.5,15.0,0.0
63,4,5,3,0.5,1.0,0.0
64,4,7,10,3.0,6.0,0.0
65,4,12,3,5.0,10.0,0.0
66,4,12,4,5.0,10.0,0.0
67,4,12,6,9.0,18.0,0.0
68,4,12,8,6.0,12.0,0.0
69,4,13,3,3.0,6.0,0.0
70,4,13,6,8.5,17.0,0.0
71,4,13,9,6.0,12.0,0.0
72,4,14,1,1.0,2.0,0.0
73,4,15,7,1.0,2.0,0.0
74,4,15,10,2.0,4.0,0.0
75,4,17,5,3.0,6.0,0.0
76,4,17,6,4.5,9.0,0.0
77,4,17,7,2.5,5.0,0.0
78,4,18,6,4.0,8.0,0.0
79,4,18,8,8.5,17.0,0.0
80,4,23,7,11.0,22.0,0.0
81,5,1,2,50.5,3.0,49.0
82,5,9,7,10.0,20.0,0.0
83,5,9,8,4.0,8.0,0.0
84,5,9,9,1.5,3.0,0.0
85,5,10,7,25.0,50.0,0.0
86,5,12,3,1.0,0.0,1.0
87,5,12,4,3.0,6.0,0.0
88,5,16,8,20.0,6.0,17.0
89,5,18,3,1.5,3.0,0.0
90,5,18,4,2.0,4.0,0.0
91,5,18,5,24.0,0.0,24.0
92,5,18,6,22.5,13.0,16.0
93,5,18,7,130.0,20.0,120.0
94,5,19,9,15.5,7.0,12.0
95,5,20,10,3.0,6.0,0.0
96,5,21,1,16.0,14.0,9.0
97,5,21,2,5.5,9.0,1.0
98,5,21,3,22.0,44.0,0.0
99,5,21,4,32.5,65.0,0.0
100,5,21,5,10.0,20.0,0.0
101,5,21,6,38.5,77.0,0.0
102,5,23,1,14.5,3.0,13.0
103,5,23,3,52.5,101.0,2.0
104,5,23,4,130.5,159.0,51.0
105,5,23,5,73.0,42.0,52.0
106,5,23,7,54.0,34.0,37.0
107,5,23,8,38.5,11.0,33.0
108,6,0,4,55.0,56.0,27.0
109,6,0,5,5.5,5.0,3.0
110,6,12,5,2.5,1.0,2.0
111,6,12,7,26.0,52.0,0.0
112,6,12,8,6.0,12.0,0.0
113,6,12,9,103.5,207.0,0.0
114,6,12,10,42.0,84.0,0.0
115,6,13,1,52.5,105.0,0.0
116,6,13,2,4.5,9.0,0.0
117,6,13,3,1.5,3.0,0.0
118,6,13,10,24.5,49.0,0.0
119,6,14,2,14.0,28.0,0.0
120,6,14,3,2.5,5.0,0.0
121,6,14,5,67.0,134.0,0.0
122,6,14,7,72.5,145.0,0.0
123,6,17,4,6.5,13.0,0.0
124,6,17,6,56.0,56.0,28.0
125,6,20,1,14.0,28.0,0.0
126,6,20,2,39.5,79.0,0.0
127,6,20,3,24.5,49.0,0.0
128,6,22,8,121.0,242.0,0.0
129,7,0,10,14.5,29.0,0.0
130,7,1,1,34.0,36.0,16.0
131,7,10,8,7.5,15.0,0.0
132,7,11,4,7.5,7.0,4.0
133,7,12,4,5.5,3.0,4.0
134,7,12,5,12.5,21.0,2.0
135,7,12,7,46.0,82.0,5.0
136,7,13,1,65.5,131.0,0.0
137,7,14,5,2.5,3.0,1.0
138,7,15,7,123.0,126.0,60.0
139,7,15,8,0.5,1.0,0.0
140,7,15,9,4.5,9.0,0.0
141,7,21,5,2.5,5.0,0.0
142,7,21,6,1.5,3.0,0.0
143,7,21,7,47.5,95.0,0.0
144,7,21,9,54.0,108.0,0.0
145,7,21,10,7.0,14.0,0.0
146,7,23,2,12.5,3.0,11.0
