,Cday,CT,bin,data,middle,mid_sep,others
0,0,0,1,6.0,6.0,3.0,351.0
1,0,0,2,99.0,38.0,80.0,242.0
2,0,0,3,36.0,64.0,4.0,292.0
3,0,0,4,0.0,0.0,0.0,360.0
4,0,0,5,0.0,0.0,0.0,360.0
5,0,0,6,0.0,0.0,0.0,360.0
6,0,0,7,0.0,0.0,0.0,360.0
7,0,0,8,0.0,0.0,0.0,360.0
8,0,0,9,0.0,0.0,0.0,360.0
9,0,0,10,0.0,0.0,0.0,360.0
10,0,1,1,0.0,0.0,0.0,360.0
11,0,1,2,0.0,0.0,0.0,360.0
12,0,1,3,12.5,5.0,10.0,345.0
13,0,1,4,6.5,5.0,4.0,351.0
14,0,1,5,0.0,0.0,0.0,360.0
15,0,1,6,0.0,0.0,0.0,360.0
16,0,1,7,0.0,0.0,0.0,360.0
17,0,1,8,0.0,0.0,0.0,360.0
18,0,1,9,0.0,0.0,0.0,360.0
19,0,1,10,0.0,0.0,0.0,360.0
20,0,2,1,0.0,0.0,0.0,360.0
21,0,2,2,0.0,0.0,0.0,360.0
22,0,2,3,0.0,0.0,0.0,360.0
23,0,2,4,0.0,0.0,0.0,360.0
24,0,2,5,0.0,0.0,0.0,360.0
25,0,2,6,0.0,0.0,0.0,360.0
26,0,2,7,0.0,0.0,0.0,360.0
27,0,2,8,0.0,0.0,0.0,360.0
28,0,2,9,0.0,0.0,0.0,360.0
29,0,2,10,0.0,0.0,0.0,360.0
30,0,3,1,0.0,0.0,0.0,360.0
31,0,3,2,0.0,0.0,0.0,360.0
32,0,3,3,0.0,0.0,0.0,360.0
33,0,3,4,0.0,0.0,0.0,360.0
34,0,3,5,0.0,0.0,0.0,360.0
35,0,3,6,0.0,0.0,0.0,360.0
36,0,3,7,0.0,0.0,0.0,360.0
37,0,3,8,13.5,5.0,11.0,344.0
38,0,3,9,0.0,0.0,0.0,360.0
39,0,3,10,0.0,0.0,0.0,360.0
40,0,4,1,0.0,0.0,0.0,360.0
41,0,4,2,0.0,0.0,0.0,360.0
42,0,4,3,0.0,0.0,0.0,360.0
43,0,4,4,0.0,0.0,0.0,360.0
44,0,4,5,0.0,0.0,0.0,360.0
45,0,4,6,0.0,0.0,0.0,360.0
46,0,4,7,0.0,0.0,0.0,360.0
47,0,4,8,0.0,0.0,0.0,360.0
48,0,4,9,0.0,0.0,0.0,360.0
49,0,4,10,0.0,0.0,0.0,360.0
50,0,5,1,0.0,0.0,0.0,360.0
51,0,5,2,0.0,0.0,0.0,360.0
52,0,5,3,0.0,0.0,0.0,360.0
53,0,5,4,0.0,0.0,0.0,360.0
54,0,5,5,0.0,0.0,0.0,360.0
55,0,5,6,0.0,0.0,0.0,360.0
56,0,5,7,0.0,0.0,0.0,360.0
57,0,5,8,0.0,0.0,0.0,360.0
58,0,5,9,0.0,0.0,0.0,360.0
59,0,5,10,0.0,0.0,0.0,360.0
60,0,6,1,0.0,0.0,0.0,360.0
61,0,6,2,0.0,0.0,0.0,360.0
62,0,6,3,0.0,0.0,0.0,360.0
63,0,6,4,0.0,0.0,0.0,360.0
64,0,6,5,0.0,0.0,0.0,360.0
65,0,6,6,0.0,0.0,0.0,360.0
66,0,6,7,0.0,0.0,0.0,360.0
67,0,6,8,0.0,0.0,0.0,360.0
68,0,6,9,0.0,0.0,0.0,360.0
69,0,6,10,0.0,0.0,0.0,360.0
70,0,7,1,0.0,0.0,0.0,360.0
71,0,7,2,0.0,0.0,0.0,360.0
72,0,7,3,0.0,0.0,0.0,360.0
73,0,7,4,0.0,0.0,0.0,360.0
74,0,7,5,0.0,0.0,0.0,360.0
75,0,7,6,0.0,0.0,0.0,360.0
76,0,7,7,0.0,0.0,0.0,360.0
77,0,7,8,0.0,0.0,0.0,360.0
78,0,7,9,0.0,0.0,0.0,360.0
79,0,7,10,0.0,0.0,0.0,360.0
80,0,8,1,8.5,5.0,6.0,349.0
81,0,8,2,23.0,4.0,21.0,335.0
82,0,8,3,0.0,0.0,0.0,360.0
83,0,8,4,0.0,0.0,0.0,360.0
84,0,8,5,0.0,0.0,0.0,360.0
85,0,8,6,0.0,0.0,0.0,360.0
86,0,8,7,0.0,0.0,0.0,360.0
87,0,8,8,0.0,0.0,0.0,360.0
88,0,8,9,0.0,0.0,0.0,360.0
89,0,8,10,0.0,0.0,0.0,360.0
90,0,9,1,0.0,0.0,0.0,360.0
91,0,9,2,0.0,0.0,0.0,360.0
92,0,9,3,0.0,0.0,0.0,360.0
93,0,9,4,0.0,0.0,0.0,360.0
94,0,9,5,0.0,0.0,0.0,360.0
95,0,9,6,0.0,0.0,0.0,360.0
96,0,9,7,0.0,0.0,0.0,360.0
97,0,9,8,0.0,0.0,0.0,360.0
98,0,9,9,0.0,0.0,0.0,360.0
99,0,9,10,0.0,0.0,0.0,360.0
100,0,10,1,0.0,0.0,0.0,360.0
101,0,10,2,0.0,0.0,0.0,312.0
102,0,12,4,1.5,3.0,0.0,178.0
103,0,12,5,46.5,3.0,45.0,312.0
104,0,12,6,13.5,9.0,9.0,342.0
105,0,12,7,8.0,2.0,7.0,351.0
106,0,12,8,29.5,7.0,26.0,327.0
107,0,12,9,0.0,0.0,0.0,360.0
108,0,12,10,2.5,1.0,2.0,357.0
109,0,13,1,20.0,10.0,15.0,335.0
110,0,13,2,13.0,6.0,10.0,344.0
111,0,13,3,0.0,0.0,0.0,360.0
112,0,13,4,0.0,0.0,0.0,360.0
113,0,13,5,22.5,3.0,21.0,336.0
114,0,13,6,28.5,49.0,4.0,307.0
115,0,13,7,0.0,0.0,0.0,360.0
116,0,13,8,10.5,13.0,4.0,343.0
117,0,13,9,0.0,0.0,0.0,360.0
118,0,13,10,0.0,0.0,0.0,360.0
119,0,14,1,20.5,31.0,5.0,324.0
120,0,14,2,0.5,1.0,0.0,359.0
121,0,14,3,0.0,0.0,0.0,360.0
122,0,14,4,0.0,0.0,0.0,360.0
123,0,14,5,0.0,0.0,0.0,360.0
124,0,14,6,3.5,1.0,3.0,356.0
125,0,14,7,0.0,0.0,0.0,360.0
126,0,14,8,0.0,0.0,0.0,360.0
127,0,14,9,0.0,0.0,0.0,360.0
128,0,14,10,7.5,3.0,6.0,351.0
129,0,15,1,0.0,0.0,0.0,360.0
130,0,15,2,0.0,0.0,0.0,360.0
131,0,15,3,0.0,0.0,0.0,360.0
132,0,15,4,0.0,0.0,0.0,360.0
133,0,15,5,12.5,3.0,11.0,346.0
134,0,15,6,0.0,0.0,0.0,360.0
135,0,15,7,0.0,0.0,0.0,360.0
136,0,15,8,0.0,0.0,0.0,360.0
137,0,15,9,0.0,0.0,0.0,360.0
138,0,15,10,10.0,18.0,1.0,341.0
139,0,16,1,1.0,2.0,0.0,358.0
140,0,16,2,0.0,0.0,0.0,360.0
141,0,16,3,19.0,26.0,6.0,328.0
142,0,16,4,1.5,1.0,1.0,358.0
143,0,16,5,13.0,22.0,2.0,336.0
144,0,16,6,0.0,0.0,0.0,360.0
145,0,16,7,14.0,14.0,7.0,339.0
146,0,16,8,12.0,20.0,2.0,338.0
147,0,16,9,0.0,0.0,0.0,360.0
148,0,16,10,0.0,0.0,0.0,360.0
149,0,17,1,0.0,0.0,0.0,360.0
150,0,17,2,69.0,30.0,54.0,276.0
151,0,17,3,34.0,6.0,31.0,323.0
152,0,17,4,0.0,0.0,0.0,360.0
153,0,17,5,10.0,12.0,4.0,344.0
154,0,17,6,0.0,0.0,0.0,360.0
155,0,17,7,0.0,0.0,0.0,360.0
156,0,17,8,0.0,0.0,0.0,360.0
157,0,17,9,0.0,0.0,0.0,360.0
158,0,17,10,0.0,0.0,0.0,360.0
159,0,18,1,0.0,0.0,0.0,360.0
160,0,18,2,0.0,0.0,0.0,360.0
161,0,18,3,0.0,0.0,0.0,360.0
162,0,18,4,0.0,0.0,0.0,360.0
163,0,18,5,0.0,0.0,0.0,360.0
164,0,18,6,0.0,0.0,0.0,360.0
165,0,18,7,9.5,1.0,9.0,350.0
166,0,18,8,0.0,0.0,0.0,360.0
167,0,18,9,0.0,0.0,0.0,360.0
168,0,18,10,0.0,0.0,0.0,360.0
169,0,19,1,0.0,0.0,0.0,360.0
170,0,19,2,0.0,0.0,0.0,360.0
171,0,19,3,0.0,0.0,0.0,360.0
172,0,19,4,0.0,0.0,0.0,360.0
173,0,19,5,4.5,3.0,3.0,354.0
174,0,19,6,0.0,0.0,0.0,360.0
175,0,19,7,36.0,8.0,32.0,320.0
176,0,19,8,0.0,0.0,0.0,360.0
177,0,19,9,0.0,0.0,0.0,360.0
178,0,19,10,7.5,3.0,6.0,351.0
179,0,20,1,0.0,0.0,0.0,360.0
180,0,20,2,0.0,0.0,0.0,360.0
181,0,20,3,0.0,0.0,0.0,360.0
182,0,20,4,33.5,39.0,14.0,307.0
183,0,20,5,64.0,92.0,18.0,250.0
184,0,20,6,0.0,0.0,0.0,360.0
185,0,20,7,0.0,0.0,0.0,360.0
186,0,20,8,0.0,0.0,0.0,360.0
187,0,20,9,0.0,0.0,0.0,360.0
188,0,20,10,53.0,62.0,22.0,276.0
189,0,21,1,5.5,3.0,4.0,353.0
190,0,21,2,0.0,0.0,0.0,360.0
191,0,21,3,0.0,0.0,0.0,360.0
192,0,21,4,21.0,18.0,12.0,330.0
193,0,21,5,0.0,0.0,0.0,360.0
194,0,21,6,0.0,0.0,0.0,360.0
195,0,21,7,0.0,0.0,0.0,360.0
196,0,21,8,0.0,0.0,0.0,360.0
197,0,21,9,0.0,0.0,0.0,360.0
198,0,21,10,0.0,0.0,0.0,360.0
199,0,22,1,0.0,0.0,0.0,360.0
200,0,22,2,0.0,0.0,0.0,360.0
201,0,22,3,0.0,0.0,0.0,360.0
202,0,22,4,0.0,0.0,0.0,360.0
203,0,22,5,0.0,0.0,0.0,360.0
204,0,22,6,0.0,0.0,0.0,360.0
205,0,22,7,0.0,0.0,0.0,360.0
206,0,22,8,0.0,0.0,0.0,360.0
207,0,22,9,0.0,0.0,0.0,360.0
208,0,22,10,0.0,0.0,0.0,360.0
209,0,23,1,0.0,0.0,0.0,360.0
210,0,23,2,0.0,0.0,0.0,360.0
211,0,23,3,0.0,0.0,0.0,360.0
212,0,23,4,0.0,0.0,0.0,360.0
213,0,23,5,6.5,1.0,6.0,353.0
214,0,23,6,4.5,3.0,3.0,354.0
215,0,23,7,0.0,0.0,0.0,360.0
216,0,23,8,0.0,0.0,0.0,360.0
217,0,23,9,0.0,0.0,0.0,360.0
218,0,23,10,54.0,54.0,27.0,279.0
219,1,0,1,0.0,0.0,0.0,360.0
220,1,0,2,0.0,0.0,0.0,360.0
221,1,0,3,0.0,0.0,0.0,360.0
222,1,0,4,0.0,0.0,0.0,360.0
223,1,0,5,0.0,0.0,0.0,360.0
224,1,0,6,0.0,0.0,0.0,360.0
225,1,0,7,0.0,0.0,0.0,360.0
226,1,0,8,0.0,0.0,0.0,360.0
227,1,0,9,0.0,0.0,0.0,360.0
228,1,0,10,0.0,0.0,0.0,360.0
229,1,1,1,0.0,0.0,0.0,360.0
230,1,1,2,0.0,0.0,0.0,360.0
231,1,1,3,0.0,0.0,0.0,360.0
232,1,1,4,0.0,0.0,0.0,360.0
233,1,1,5,0.0,0.0,0.0,360.0
234,1,1,6,0.0,0.0,0.0,360.0
235,1,1,7,0.0,0.0,0.0,360.0
236,1,1,8,0.0,0.0,0.0,360.0
237,1,1,9,0.0,0.0,0.0,360.0
238,1,1,10,0.0,0.0,0.0,360.0
239,1,2,1,0.0,0.0,0.0,360.0
240,1,2,2,0.0,0.0,0.0,360.0
241,1,2,3,0.0,0.0,0.0,360.0
242,1,2,4,0.0,0.0,0.0,360.0
243,1,2,5,0.0,0.0,0.0,360.0
244,1,2,6,0.0,0.0,0.0,360.0
245,1,2,7,0.0,0.0,0.0,360.0
246,1,2,8,0.0,0.0,0.0,360.0
247,1,2,9,0.0,0.0,0.0,360.0
248,1,2,10,0.0,0.0,0.0,360.0
249,1,3,1,0.0,0.0,0.0,360.0
250,1,3,2,0.0,0.0,0.0,360.0
251,1,3,3,0.0,0.0,0.0,360.0
252,1,3,4,0.0,0.0,0.0,360.0
253,1,3,5,0.0,0.0,0.0,360.0
254,1,3,6,0.0,0.0,0.0,360.0
255,1,3,7,0.0,0.0,0.0,360.0
256,1,3,8,0.0,0.0,0.0,360.0
257,1,3,9,0.0,0.0,0.0,360.0
258,1,3,10,0.0,0.0,0.0,360.0
