,Cday,CT,bin,data,middle,mid_sep,others
0,0,10,3,0.0,0,0,81
1,0,10,4,0.0,0,0,7
2,1,0,1,0.0,0,0,360
3,1,0,2,0.0,0,0,360
4,1,0,3,76.0,50,51,259
5,1,0,4,30.0,20,20,320
6,1,0,5,59.5,15,52,293
7,1,0,6,93.5,103,42,215
8,1,0,7,70.0,44,48,268
9,1,0,8,79.5,71,44,245
10,1,0,9,94.0,110,39,211
11,1,0,10,0.0,0,0,360
12,1,1,1,0.0,0,0,360
13,1,1,2,0.0,0,0,360
14,1,1,3,0.0,0,0,360
15,1,1,4,0.0,0,0,360
16,1,1,5,138.5,5,136,219
17,1,1,6,140.5,3,139,218
18,1,1,7,57.0,14,50,296
19,1,1,8,37.5,27,24,309
20,1,1,9,12.5,3,11,346
21,1,1,10,48.0,42,27,291
22,1,2,1,26.5,3,25,332
23,1,2,2,0.0,0,0,360
24,1,2,3,0.0,0,0,360
25,1,2,4,8.0,4,6,350
26,1,2,5,0.0,0,0,360
27,1,2,6,0.0,0,0,360
28,1,2,7,0.0,0,0,360
29,1,2,8,0.0,0,0,360
30,1,2,9,0.0,0,0,360
31,1,2,10,0.0,0,0,360
32,1,3,1,0.0,0,0,360
33,1,3,2,0.0,0,0,360
34,1,3,3,0.0,0,0,360
35,1,3,4,0.0,0,0,360
36,1,3,5,0.0,0,0,360
37,1,3,6,0.0,0,0,360
38,1,3,7,70.5,135,3,222
39,1,3,8,185.5,97,137,126
40,1,3,9,50.0,16,42,302
41,1,3,10,8.0,14,1,345
42,1,4,1,0.0,0,0,360
43,1,4,2,0.0,0,0,360
44,1,4,3,0.0,0,0,360
45,1,4,4,0.0,0,0,360
46,1,4,5,0.0,0,0,360
47,1,4,6,0.0,0,0,360
48,1,4,7,0.0,0,0,360
49,1,4,8,0.0,0,0,360
50,1,4,9,0.0,0,0,360
51,1,4,10,0.0,0,0,360
52,1,5,1,0.0,0,0,360
53,1,5,2,0.0,0,0,360
54,1,5,3,0.0,0,0,360
55,1,5,4,0.0,0,0,360
56,1,5,5,0.0,0,0,360
57,1,5,6,48.0,30,33,297
58,1,5,7,97.5,133,31,196
59,1,5,8,13.0,8,9,343
60,1,5,9,18.0,2,17,341
61,1,5,10,80.5,29,66,265
62,1,6,1,0.0,0,0,360
63,1,6,2,0.0,0,0,360
64,1,6,3,0.0,0,0,360
65,1,6,4,0.0,0,0,360
66,1,6,5,0.0,0,0,360
67,1,6,6,0.0,0,0,360
68,1,6,7,0.0,0,0,360
69,1,6,8,0.0,0,0,360
70,1,6,9,0.0,0,0,360
71,1,6,10,0.0,0,0,360
72,1,7,1,0.0,0,0,360
73,1,7,2,0.0,0,0,360
74,1,7,3,0.0,0,0,360
75,1,7,4,0.0,0,0,360
76,1,7,5,0.0,0,0,360
77,1,7,6,0.0,0,0,360
78,1,7,7,3.0,2,2,356
79,1,7,8,0.0,0,0,360
80,1,7,9,0.0,0,0,360
81,1,7,10,91.5,5,89,266
82,1,8,1,43.5,17,35,308
83,1,8,2,0.0,0,0,360
84,1,8,3,0.0,0,0,360
85,1,8,4,0.0,0,0,360
86,1,8,5,0.0,0,0,360
87,1,8,6,0.0,0,0,360
88,1,8,7,0.0,0,0,360
89,1,8,8,0.0,0,0,360
90,1,8,9,0.0,0,0,360
91,1,8,10,0.0,0,0,360
92,1,9,1,0.0,0,0,360
93,1,9,2,23.0,10,18,332
94,1,9,3,0.0,0,0,360
95,1,9,4,0.0,0,0,360
96,1,9,5,0.0,0,0,360
97,1,9,6,75.5,97,27,236
98,1,9,7,84.0,20,74,266
99,1,9,8,15.0,14,8,338
100,1,9,9,0.0,0,0,360
101,1,9,10,0.0,0,0,360
102,1,10,1,0.0,0,0,360
103,1,10,2,0.0,0,0,360
104,1,10,3,0.0,0,0,360
105,1,10,4,68.0,22,57,376
106,1,10,5,91.0,28,77,255
107,1,10,6,30.0,40,10,310
108,1,10,7,0.0,0,0,360
109,1,10,8,31.0,16,23,321
110,1,10,9,161.0,20,151,189
111,1,10,10,68.0,44,46,270
112,1,11,1,10.0,4,8,348
113,1,11,2,0.0,0,0,360
114,1,11,3,139.5,63,108,189
115,1,11,4,102.5,39,83,238
116,1,11,5,0.0,0,0,360
117,1,11,6,74.5,23,63,274
118,1,11,7,100.0,36,82,242
119,1,11,8,98.5,59,69,232
120,1,11,9,25.5,13,19,328
121,1,11,10,68.5,5,66,289
122,1,12,1,59.0,18,50,292
123,1,12,2,73.5,7,70,283
124,1,12,3,78.5,5,76,279
125,1,12,4,28.5,7,25,328
126,1,12,5,55.0,28,41,291
127,1,12,6,8.0,0,8,352
128,1,12,7,22.0,8,18,334
129,1,12,8,37.5,31,22,307
