Cday,CT,bin,data
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,1
1,2,10,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,4,1,0
1,4,2,1
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0
1,5,10,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,1
1,6,5,0
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0
1,6,10,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0
1,7,10,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,0
1,8,9,0
1,8,10,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,9,7,0
1,9,8,0
1,9,9,0
1,9,10,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,14
1,10,5,172
1,10,6,108
1,10,7,2
1,10,8,0
1,10,9,0
1,10,10,6
1,11,1,0
1,11,2,17
1,11,3,3
1,11,4,7
1,11,5,4
1,11,6,0
1,11,7,0
1,11,8,1
1,11,9,15
1,11,10,0
1,12,1,0
1,12,2,69
1,12,3,134
1,12,4,105
1,12,5,122
1,12,6,89
1,12,7,179
1,12,8,121
1,12,9,146
1,12,10,82
1,13,1,127
1,13,2,117
1,13,3,138
1,13,4,174
1,13,5,114
1,13,6,128
1,13,7,155
1,13,8,149
1,13,9,133
1,13,10,165
1,14,1,77
1,14,2,139
1,14,3,129
1,14,4,156
1,14,5,103
1,14,6,148
1,14,7,167
1,14,8,115
1,14,9,126
1,14,10,141
1,15,1,148
1,15,2,94
1,15,3,134
1,15,4,156
1,15,5,138
1,15,6,121
1,15,7,155
1,15,8,165
1,15,9,87
1,15,10,171
1,16,1,131
1,16,2,61
1,16,3,129
1,16,4,103
1,16,5,129
1,16,6,123
1,16,7,157
1,16,8,100
1,16,9,153
1,16,10,82
1,17,1,97
1,17,2,143
1,17,3,145
1,17,4,61
1,17,5,142
1,17,6,121
1,17,7,151
1,17,8,79
1,17,9,122
1,17,10,123
1,18,1,120
1,18,2,153
1,18,3,101
1,18,4,119
1,18,5,149
1,18,6,99
1,18,7,116
1,18,8,96
1,18,9,58
1,18,10,0
1,19,1,29
1,19,2,1
1,19,3,4
1,19,4,0
1,19,5,1
1,19,6,0
1,19,7,0
1,19,8,0
1,19,9,0
1,19,10,0
1,20,1,0
1,20,2,0
1,20,3,0
1,20,4,0
1,20,5,0
1,20,6,0
1,20,7,0
1,20,8,0
1,20,9,0
1,20,10,0
1,21,1,1
1,21,2,2
1,21,3,60
1,21,4,1
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0
1,21,10,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,7
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,1
1,22,10,96
1,23,1,107
1,23,2,0
1,23,3,119
1,23,4,2
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0
1,23,10,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,0,7,0
2,0,8,0
2,0,9,0
2,0,10,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0
2,1,10,0
2,2,1,0
2,2,2,0
2,2,3,0
2,2,4,0
2,2,5,0
2,2,6,0
2,2,7,0
2,2,8,0
2,2,9,0
2,2,10,0
2,3,1,0
2,3,2,0
2,3,3,0
2,3,4,0
2,3,5,0
2,3,6,0
2,3,7,0
2,3,8,0
2,3,9,0
2,3,10,0
2,4,1,0
2,4,2,0
2,4,3,0
2,4,4,0
2,4,5,0
2,4,6,0
2,4,7,0
2,4,8,0
2,4,9,0
2,4,10,0
2,5,1,0
2,5,2,0
2,5,3,0
2,5,4,0
2,5,5,0
2,5,6,0
2,5,7,0
2,5,8,0
2,5,9,0
2,5,10,0
2,6,1,0
2,6,2,0
2,6,3,0
2,6,4,0
2,6,5,0
2,6,6,0
2,6,7,0
2,6,8,0
2,6,9,0
2,6,10,0
2,7,1,0
2,7,2,0
2,7,3,0
2,7,4,0
2,7,5,0
2,7,6,0
2,7,7,0
2,7,8,0
2,7,9,0
2,7,10,0
2,8,1,0
2,8,2,0
2,8,3,0
2,8,4,0
2,8,5,0
2,8,6,0
2,8,7,0
2,8,8,0
2,8,9,0
2,8,10,0
2,9,1,0
2,9,2,0
2,9,3,0
2,9,4,0
2,9,5,0
2,9,6,0
2,9,7,0
2,9,8,0
2,9,9,0
2,9,10,0
2,10,1,0
2,10,2,0
2,10,3,0
2,10,4,0
2,10,5,0
2,10,6,0
2,10,7,0
2,10,8,0
2,10,9,0
2,10,10,0
2,11,1,0
2,11,2,0
2,11,3,0
2,11,4,0
2,11,5,0
2,11,6,0
2,11,7,0
2,11,8,0
2,11,9,0
2,11,10,25
2,12,1,125
2,12,2,137
2,12,3,78
2,12,4,145
2,12,5,125
2,12,6,80
2,12,7,157
2,12,8,137
2,12,9,125
2,12,10,121
2,13,1,149
2,13,2,150
2,13,3,113
