,Cday,CT,bin,data
0,1,0,1,0.0
1,1,0,2,0.0
2,1,0,3,0.0
3,1,0,4,0.0
4,1,0,5,0.0
5,1,0,6,0.0
6,1,0,7,0.0
7,1,0,8,0.0
8,1,0,9,0.0
9,1,0,10,0.0
10,1,1,1,0.0
11,1,1,2,0.0
12,1,1,3,0.0
13,1,1,4,0.0
14,1,1,5,0.0
15,1,1,6,0.0
16,1,1,7,0.0
17,1,1,8,0.0
18,1,1,9,0.0
19,1,1,10,0.0
20,1,2,1,0.0
21,1,2,2,0.0
22,1,2,3,0.0
23,1,2,4,0.0
24,1,2,5,0.0
25,1,2,6,0.0
26,1,2,7,0.0
27,1,2,8,0.0
28,1,2,9,0.0
29,1,2,10,0.0
30,1,3,1,0.0
31,1,3,2,0.0
32,1,3,3,0.0
33,1,3,4,0.0
34,1,3,5,0.0
35,1,3,6,0.0
36,1,3,7,0.0
37,1,3,8,0.0
38,1,3,9,0.0
39,1,3,10,0.0
40,1,4,1,0.0
41,1,4,2,0.0
42,1,4,3,0.0
43,1,4,4,0.0
44,1,4,5,0.0
45,1,4,6,0.0
46,1,4,7,0.0
47,1,4,8,0.0
48,1,4,9,0.0
49,1,4,10,0.0
50,1,5,1,0.0
51,1,5,2,0.0
52,1,5,3,0.0
53,1,5,4,0.0
54,1,5,5,0.0
55,1,5,6,0.0
56,1,5,7,0.0
57,1,5,8,0.0
58,1,5,9,0.0
59,1,5,10,0.0
60,1,6,1,0.0
61,1,6,2,0.0
62,1,6,3,0.0
63,1,6,4,0.0
64,1,6,5,0.0
65,1,6,6,0.0
66,1,6,7,0.0
67,1,6,8,0.0
68,1,6,9,0.0
69,1,6,10,0.0
70,1,7,1,0.0
71,1,7,2,0.0
72,1,7,3,0.0
73,1,7,4,0.0
74,1,7,5,0.0
75,1,7,6,0.0
76,1,7,7,0.0
77,1,7,8,0.0
78,1,7,9,0.0
79,1,7,10,0.0
80,1,8,1,0.0
81,1,8,2,0.0
82,1,8,3,0.0
83,1,8,4,0.0
84,1,8,5,0.0
85,1,8,6,0.0
86,1,8,7,0.0
87,1,8,8,0.0
88,1,8,9,0.0
89,1,8,10,0.0
90,1,9,1,0.0
91,1,9,2,0.0
92,1,9,3,0.0
93,1,9,4,0.0
94,1,9,5,0.0
95,1,9,6,0.0
96,1,9,7,0.0
97,1,9,8,0.0
98,1,9,9,0.0
99,1,9,10,0.0
100,1,10,1,0.0
101,1,10,2,0.0
102,1,10,3,0.0
103,1,10,4,1.0
104,1,10,5,1.0
105,1,10,6,0.0
106,1,10,7,0.0
107,1,10,8,1.0
108,1,10,9,18.0
109,1,10,10,11.0
110,1,11,1,0.0
111,1,11,2,0.0
112,1,11,3,0.0
113,1,11,4,0.0
114,1,11,5,0.0
115,1,11,6,0.0
116,1,11,7,0.0
117,1,11,8,0.0
118,1,11,9,0.0
119,1,11,10,0.0
120,1,12,1,123.0
121,1,12,2,73.0
122,1,12,3,120.0
123,1,12,4,0.0
124,1,12,5,73.0
125,1,12,6,116.0
126,1,12,7,107.0
127,1,12,8,0.0
128,1,12,9,61.0
129,1,12,10,92.0
130,1,13,1,0.0
131,1,13,2,139.0
132,1,13,3,137.0
133,1,13,4,67.0
134,1,13,5,0.0
135,1,13,6,138.0
136,1,13,7,135.0
137,1,13,8,70.0
138,1,13,9,0.0
