Cday,CT,bin,data
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0
1,5,10,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0
1,6,10,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0
1,7,10,31
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,0
1,8,9,0
1,8,10,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,9,7,0
1,9,8,0
1,9,9,0
1,9,10,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0
1,10,10,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0
1,11,10,0
1,12,1,0
1,12,2,0
1,12,3,32
1,12,4,133
1,12,5,45
1,12,6,108
1,12,7,123
1,12,8,59
1,12,9,134
1,12,10,131
1,13,1,93
1,13,2,135
1,13,3,121
1,13,4,92
1,13,5,149
1,13,6,142
1,13,7,153
1,13,8,126
1,13,9,121
1,13,10,117
1,14,1,111
1,14,2,162
1,14,3,103
1,14,4,157
1,14,5,153
1,14,6,96
1,14,7,76
1,14,8,150
1,14,9,147
1,14,10,179
1,15,1,0
1,15,2,53
1,15,3,172
1,15,4,143
1,15,5,199
1,15,6,83
1,15,7,170
1,15,8,129
1,15,9,105
1,15,10,169
1,16,1,154
1,16,2,107
1,16,3,129
1,16,4,107
1,16,5,180
1,16,6,51
1,16,7,64
1,16,8,199
1,16,9,139
1,16,10,143
1,17,1,161
1,17,2,27
1,17,3,164
1,17,4,0
1,17,5,114
1,17,6,146
1,17,7,189
1,17,8,95
1,17,9,173
1,17,10,101
1,18,1,109
1,18,2,61
1,18,3,150
1,18,4,135
1,18,5,206
1,18,6,138
1,18,7,137
1,18,8,41
1,18,9,138
1,18,10,185
1,19,1,50
1,19,2,60
1,19,3,139
1,19,4,62
1,19,5,148
1,19,6,51
1,19,7,0
1,19,8,0
1,19,9,59
1,19,10,0
1,20,1,0
1,20,2,0
1,20,3,0
1,20,4,0
1,20,5,0
1,20,6,0
1,20,7,0
1,20,8,0
1,20,9,0
1,20,10,0
1,21,1,0
1,21,2,9
1,21,3,85
1,21,4,100
1,21,5,6
1,21,6,22
1,21,7,0
1,21,8,0
1,21,9,0
1,21,10,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,1
1,22,10,81
1,23,1,1
1,23,2,29
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0
1,23,10,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,0,7,0
2,0,8,0
2,0,9,0
2,0,10,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,1
2,1,5,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0
2,1,10,0
2,2,1,0
2,2,2,0
2,2,3,0
2,2,4,0
2,2,5,0
2,2,6,0
2,2,7,0
2,2,8,0
2,2,9,0
2,2,10,0
2,3,1,0
2,3,2,0
2,3,3,0
2,3,4,0
2,3,5,0
2,3,6,0
2,3,7,0
2,3,8,0
2,3,9,0
2,3,10,0
2,4,1,0
2,4,2,0
2,4,3,0
2,4,4,0
2,4,5,0
2,4,6,0
2,4,7,0
2,4,8,0
2,4,9,0
2,4,10,0
2,5,1,0
2,5,2,0
2,5,3,0
2,5,4,0
2,5,5,0
2,5,6,0
2,5,7,0
2,5,8,0
2,5,9,0
2,5,10,0
2,6,1,0
2,6,2,0
2,6,3,0
2,6,4,0
2,6,5,0
2,6,6,0
2,6,7,0
2,6,8,0
2,6,9,0
2,6,10,0
2,7,1,0
2,7,2,0
2,7,3,0
2,7,4,0
2,7,5,0
2,7,6,0
2,7,7,0
2,7,8,0
2,7,9,0
2,7,10,0
2,8,1,0
2,8,2,0
2,8,3,0
2,8,4,0
2,8,5,0
2,8,6,0
2,8,7,0
2,8,8,0
2,8,9,0
2,8,10,0
2,9,1,0
2,9,2,0
2,9,3,0
2,9,4,0
2,9,5,0
2,9,6,0
2,9,7,0
2,9,8,0
2,9,9,0
2,9,10,0
2,10,1,0
2,10,2,0
2,10,3,0
2,10,4,0
2,10,5,0
2,10,6,0
2,10,7,0
2,10,8,0
2,10,9,0
2,10,10,0
2,11,1,0
2,11,2,0
2,11,3,0
2,11,4,0
2,11,5,2
2,11,6,2
2,11,7,15
2,11,8,10
2,11,9,1
2,11,10,0
2,12,1,0
2,12,2,62
2,12,3,101
2,12,4,72
2,12,5,102
2,12,6,102
2,12,7,71
2,12,8,122
2,12,9,154
2,12,10,29
2,13,1,120
2,13,2,142
2,13,3,159
