Cday,CT,bin,middle,mid_sep,others
1,0,1,0,0,360
1,0,2,24,1,335
1,0,3,0,0,360
1,0,4,0,0,360
1,0,5,0,0,360
1,0,6,0,0,360
1,0,7,0,0,360
1,0,8,0,0,360
1,0,9,0,0,360
1,0,10,0,0,360
1,1,1,0,0,360
1,1,2,0,0,360
1,1,3,0,0,360
1,1,4,0,0,360
1,1,5,0,0,360
1,1,6,0,0,360
1,1,7,0,0,360
1,1,8,33,0,327
1,1,9,0,0,360
1,1,10,0,0,360
1,2,1,0,0,360
1,2,2,0,0,360
1,2,3,0,0,360
1,2,4,0,0,360
1,2,5,0,0,360
1,2,6,0,0,360
1,2,7,0,0,360
1,2,8,0,0,360
1,2,9,0,0,360
1,2,10,19,3,338
1,3,1,0,0,360
1,3,2,0,0,360
1,3,3,0,0,360
1,3,4,0,0,360
1,3,5,0,0,360
1,3,6,0,0,360
1,3,7,0,0,360
1,3,8,0,0,360
1,3,9,0,0,360
1,3,10,0,0,360
1,4,1,0,0,360
1,4,2,0,0,360
1,4,3,0,0,360
1,4,4,0,0,360
1,4,5,0,0,360
1,4,6,0,0,360
1,4,7,0,0,360
1,4,8,0,0,360
1,4,9,0,0,360
1,4,10,0,0,360
1,5,1,6,1,353
1,5,2,0,0,360
1,5,3,0,0,360
1,5,4,0,0,360
1,5,5,0,0,360
1,5,6,0,0,360
1,5,7,0,0,360
1,5,8,0,0,360
1,5,9,0,0,360
1,5,10,0,0,360
1,6,1,0,0,360
1,6,2,0,0,360
1,6,3,0,0,360
1,6,4,0,0,360
1,6,5,0,0,360
1,6,6,0,0,360
1,6,7,0,0,360
1,6,8,0,0,360
1,6,9,0,0,360
1,6,10,0,0,223
1,8,10,0,0,220
1,9,1,0,0,360
1,9,2,0,0,360
1,9,3,0,0,360
1,9,4,0,0,360
1,9,5,24,50,286
1,9,6,15,43,302
1,9,7,0,0,360
1,9,8,0,0,360
1,9,9,0,0,360
1,9,10,0,0,360
1,10,1,0,0,360
1,10,2,0,0,360
1,10,3,0,0,360
1,10,4,4,14,342
1,10,5,0,0,360
1,10,6,0,0,360
1,10,7,0,0,360
1,10,8,0,0,360
1,10,9,6,4,350
1,10,10,23,23,314
1,11,1,28,35,297
1,11,2,0,0,360
1,11,3,0,0,360
1,11,4,0,0,360
1,11,5,4,18,338
1,11,6,30,42,288
1,11,7,3,16,341
1,11,8,0,0,360
1,11,9,0,0,360
1,11,10,0,0,360
1,12,1,0,0,360
1,12,2,0,0,360
1,12,3,15,40,305
1,12,4,7,24,329
1,12,5,10,25,325
1,12,6,4,2,354
1,12,7,41,29,290
1,12,8,6,2,352
1,12,9,23,3,334
1,12,10,39,63,258
1,13,1,7,14,339
1,13,2,0,0,360
1,13,3,0,0,360
1,13,4,0,0,360
1,13,5,0,0,360
1,13,6,0,0,360
1,13,7,0,0,360
1,13,8,12,2,346
1,13,9,6,5,349
1,13,10,0,0,360
1,14,1,24,20,316
1,14,2,5,0,355
1,14,3,4,0,356
1,14,4,45,100,215
1,14,5,34,104,222
1,14,6,4,0,356
1,14,7,30,22,308
1,14,8,0,0,360
1,14,9,130,114,116
1,14,10,2,232,126
1,15,1,0,0,360
1,15,2,20,0,340
1,15,3,67,0,293
1,15,4,0,0,360
1,15,5,3,0,357
1,15,6,0,0,360
1,15,7,0,0,360
1,15,8,0,0,360
1,15,9,0,0,360
1,15,10,0,0,360
1,16,1,0,0,360
1,16,2,0,0,360
1,16,3,0,0,360
1,16,4,10,0,350
1,16,5,0,0,360
1,16,6,0,0,360
1,16,7,0,0,360
1,16,8,6,2,352
1,16,9,0,0,360
1,16,10,0,0,360
1,17,1,0,0,360
1,17,2,0,0,360
1,17,3,47,183,130
1,17,4,0,0,360
1,17,5,24,66,270
1,17,6,31,57,272
1,17,7,15,106,239
1,17,8,20,182,158
1,17,9,2,30,328
1,17,10,59,8,293
1,18,1,0,0,360
1,18,2,0,0,360
1,18,3,0,0,360
1,18,4,0,0,360
1,18,5,0,0,360
1,18,6,0,0,360
1,18,7,0,0,360
1,18,8,0,0,360
1,18,9,0,0,360
1,18,10,0,0,360
1,19,1,3,0,357
1,19,2,1,0,359
1,19,3,10,71,279
1,19,4,19,6,335
1,19,5,62,0,298
1,19,6,66,121,173
1,19,7,6,0,354
1,19,8,93,143,124
1,19,9,0,0,360
1,19,10,0,0,360
1,20,1,0,0,360
1,20,2,0,0,360
1,20,3,0,0,360
1,20,4,0,0,360
1,20,5,0,0,360
1,20,6,0,0,360
1,20,7,0,0,360
1,20,8,0,0,360
1,20,9,0,0,360
1,20,10,0,0,360
1,21,1,0,0,360
1,21,2,0,0,360
1,21,3,0,0,360
1,21,4,0,0,360
1,21,5,0,0,360
1,21,6,0,0,360
1,21,7,3,4,353
1,21,8,21,20,319
1,21,9,0,0,360
1,21,10,11,2,347
1,22,1,132,104,124
1,22,2,0,0,360
1,22,3,0,0,360
1,22,4,0,0,360
1,22,5,0,0,360
1,22,6,0,0,360
1,22,7,0,0,360
1,22,8,0,0,360
1,22,9,0,0,360
1,22,10,0,0,360
1,23,1,0,0,360
1,23,2,0,0,360
1,23,3,0,0,360
1,23,4,10,13,337
1,23,5,20,1,339
1,23,6,4,0,356
1,23,7,34,5,321
1,23,8,46,61,253
1,23,9,3,108,249
1,23,10,98,25,237
2,0,1,0,0,360
2,0,2,0,0,360
2,0,3,0,0,360
2,0,4,0,0,360
2,0,5,1,0,359
2,0,6,0,0,360
2,0,7,0,0,360
2,0,8,0,0,360
2,0,9,0,0,360
2,0,10,44,25,291
2,1,1,0,0,360
2,1,2,0,0,360
2,1,3,0,0,360
2,1,4,0,0,360
2,1,5,0,0,360
2,1,6,0,0,360
2,1,7,0,0,360
2,1,8,0,0,360
2,1,9,0,0,360
2,1,10,0,0,360
2,2,1,0,0,360
2,2,2,14,1,345
2,2,3,10,0,350
2,2,4,0,0,360
2,2,5,0,0,360
2,2,6,0,0,360
2,2,7,0,0,360
2,2,8,0,0,360
2,2,9,0,0,360
2,2,10,0,0,360
2,3,1,0,0,360
2,3,2,0,0,360
2,3,3,14,0,346
2,3,4,0,0,360
2,3,5,0,0,360
2,3,6,0,0,360
2,3,7,0,0,360
2,3,8,0,0,360
2,3,9,0,0,360
2,3,10,0,0,360
2,4,1,0,0,360
2,4,2,0,0,360
2,4,3,0,0,360
2,4,4,0,0,360
2,4,5,0,0,360
2,4,6,0,0,360
2,4,7,0,0,360
2,4,8,0,0,360
2,4,9,13,7,340
2,4,10,0,0,360
2,5,1,0,0,360
2,5,2,0,0,360
2,5,3,0,0,360
2,5,4,0,0,360
2,5,5,0,0,360
2,5,6,0,0,360
2,5,7,0,0,360
2,5,8,0,0,360
2,5,9,0,0,360
2,5,10,0,0,360
2,6,1,0,0,360
2,6,2,0,0,360
2,6,3,0,0,360
2,6,4,0,0,360
2,6,5,0,0,360
2,6,6,0,0,360
2,6,7,0,0,360
2,6,8,0,0,360
2,6,9,0,0,327
2,6,10,2,1,134
2,7,1,0,0,360
2,7,2,0,0,360
2,7,3,0,0,360
2,7,4,0,0,360
2,7,5,0,0,360
2,7,6,5,2,353
2,7,7,0,0,360
2,7,8,0,0,360
2,7,9,0,0,360
