Cday,CT,bin,middle,mid_sep,others
1,0,1,0,0,360
1,0,2,0,0,360
1,0,3,0,0,360
1,0,4,0,0,360
1,0,5,0,0,360
1,0,6,0,0,360
1,0,7,0,0,360
1,0,8,0,0,360
1,0,9,0,0,360
1,0,10,20,0,340
1,1,1,27,0,333
1,1,2,0,0,360
1,1,3,0,0,360
1,1,4,0,0,360
1,1,5,0,0,360
1,1,6,0,0,360
1,1,7,2,4,354
1,1,8,0,0,360
1,1,9,0,0,360
1,1,10,22,4,334
1,2,1,0,0,360
1,2,2,0,0,360
1,2,3,0,0,360
1,2,4,0,0,360
1,2,5,0,0,360
1,2,6,0,0,360
1,2,7,0,0,360
1,2,8,1,0,359
1,2,9,0,0,360
1,2,10,0,0,360
1,3,1,0,0,360
1,3,2,1,0,359
1,3,3,0,0,360
1,3,4,0,0,360
1,3,5,0,0,360
1,3,6,30,0,330
1,3,7,0,0,360
1,3,8,14,0,346
1,3,9,0,0,360
1,3,10,0,0,360
1,4,1,1,0,359
1,4,2,0,0,360
1,4,3,0,0,360
1,4,4,0,0,360
1,4,5,0,0,360
1,4,6,0,0,360
1,4,7,0,0,360
1,4,8,0,0,360
1,4,9,0,0,360
1,4,10,0,0,360
1,5,1,0,0,360
1,5,2,0,5,355
1,5,3,0,0,360
1,5,4,0,0,360
1,5,5,0,0,360
1,5,6,0,0,360
1,5,7,0,0,360
1,5,8,6,0,354
1,5,9,0,0,360
1,5,10,1,0,359
1,6,1,19,3,338
1,6,2,0,0,360
1,6,3,9,4,347
1,6,4,0,0,360
1,6,5,0,0,360
1,6,6,0,0,360
1,6,7,0,0,360
1,6,8,0,0,360
1,6,9,0,0,360
1,6,10,0,0,360
1,7,1,0,0,360
1,7,2,0,0,360
1,7,3,0,0,360
1,7,4,0,0,360
1,7,5,0,0,360
1,7,6,0,0,360
1,7,7,0,0,360
1,7,8,0,0,360
1,7,9,0,0,360
1,7,10,0,0,360
1,8,1,44,0,316
1,8,2,0,0,360
1,8,3,17,12,331
1,8,4,0,0,360
1,8,5,0,0,360
1,8,6,0,0,360
1,8,7,0,0,360
1,8,8,0,0,360
1,8,9,0,0,360
1,8,10,0,0,360
1,9,1,0,0,360
1,9,2,0,0,360
1,9,3,0,0,360
1,9,4,0,0,360
1,9,5,0,0,360
1,9,6,0,0,360
1,9,7,0,0,360
1,9,8,0,0,360
1,9,9,0,0,360
1,9,10,0,0,360
1,10,1,0,0,360
1,10,2,47,12,301
1,10,3,15,0,345
1,10,4,0,0,360
1,10,5,0,0,360
1,10,6,0,0,360
1,10,7,0,0,360
1,10,8,0,0,360
1,10,9,0,0,360
1,10,10,0,0,360
1,11,1,0,0,360
1,11,2,0,0,360
1,11,3,0,0,360
1,11,4,0,0,360
1,11,5,0,0,360
1,11,6,1,9,350
1,11,7,0,0,360
1,11,8,0,0,360
1,11,9,0,0,360
1,11,10,0,0,360
1,12,1,298,0,62
1,12,2,42,5,313
1,12,3,6,0,354
1,12,4,0,0,360
1,12,5,0,0,360
1,12,6,0,0,360
1,12,7,11,8,341
1,12,8,0,0,360
1,12,9,7,0,353
1,12,10,5,0,355
1,13,1,0,0,360
1,13,2,9,0,351
1,13,3,148,10,202
1,13,4,0,0,360
1,13,5,0,0,360
1,13,6,0,0,360
1,13,7,0,0,360
1,13,8,0,0,360
1,13,9,0,0,360
1,13,10,225,8,127
1,14,1,0,0,360
1,14,2,7,0,353
1,14,3,1,0,359
1,14,4,20,3,337
1,14,5,272,6,82
1,14,6,14,0,346
1,14,7,4,0,356
1,14,8,0,0,360
